Names,A1,A2,A3,Sample,Group
D_Pakistan_Karakoram_S19_10678.CanFam31.bam,0.628217438,1.00E-09,0.371782561,Karakoram_S19_10678.CanFam31.bam,Pakistan
D_Pakistan_Karakoram_S19_10679.CanFam31.bam,0.565975023,1.00E-09,0.434024976,Karakoram_S19_10679.CanFam31.bam,Pakistan
D_Pakistan_DGKhan_S19_10680.CanFam31.bam,0.203928595,1.00E-09,0.796071404,DGKhan_S19_10680.CanFam31.bam,Pakistan
D_Pakistan_S21_1037_Kolhu.CanFam31.bam,0.308580048,1.00E-09,0.691419951,S21_1037_Kolhu.CanFam31.bam,Pakistan
D_Pakistan_S21_1038_Chitral.CanFam31.bam,0.650315578,1.00E-09,0.349684421,S21_1038_Chitral.CanFam31.bam,Pakistan
D_Pakistan_S21_1039_Punjab.CanFam31.bam,0.495475695,1.00E-09,0.504524304,S21_1039_Punjab.CanFam31.bam,Pakistan
D_Pakistan_S21_1041_Waziristan.CanFam31.bam,0.512091512,1.00E-09,0.487908487,S21_1041_Waziristan.CanFam31.bam,Pakistan
D_Pakistan_S21_1042_Chitral.CanFam31.bam,0.549278205,1.00E-09,0.450721794,S21_1042_Chitral.CanFam31.bam,Pakistan
F_CentralAsia_Kyrgyz_WLF179.CanFam31.bam,0.879218836,0.002867333,0.117913831,Kyrgyz_WLF179.CanFam31.bam,CentralAsia
F_CentralAsia_Kyrgyz_WLF180.CanFam31.bam,0.890748071,0.006602661,0.102649268,Kyrgyz_WLF180.CanFam31.bam,CentralAsia
B_Indian_BH6_Indian_Wolf.CanFam31.realigned.bam,1.00E-09,1.00E-09,0.999999998,BH6_Indian_Wolf.CanFam31.realigned.bam,Indian
B_Indian_BH126_Indian_Wolf.CanFam31.realigned.bam,1.00E-09,1.00E-09,0.999999998,BH126_Indian_Wolf.CanFam31.realigned.bam,Indian
B_Indian_Indianwolf_SRR13985171.CanFam31.bam,1.00E-09,1.00E-09,0.999999998,Indianwolf_SRR13985171.CanFam31.bam,Indian
