Names,A1,A2,A3,A4,Sample,Group
D_Pakistan_Karakoram_S19_10678.CanFam31.bam,0.631090308,0.36890969,1.00E-09,1.00E-09,Karakoram_S19_10678.CanFam31.bam,Pakistan
D_Pakistan_Karakoram_S19_10679.CanFam31.bam,0.568554131,0.431445867,1.00E-09,1.00E-09,Karakoram_S19_10679.CanFam31.bam,Pakistan
D_Pakistan_DGKhan_S19_10680.CanFam31.bam,0.205722219,0.794277779,1.00E-09,1.00E-09,DGKhan_S19_10680.CanFam31.bam,Pakistan
D_Pakistan_S21_1037_Kolhu.CanFam31.bam,0.276421389,0.69015682,1.00E-09,0.03342179,S21_1037_Kolhu.CanFam31.bam,Pakistan
D_Pakistan_S21_1038_Chitral.CanFam31.bam,0.653954912,0.346045086,1.00E-09,1.00E-09,S21_1038_Chitral.CanFam31.bam,Pakistan
D_Pakistan_S21_1039_Punjab.CanFam31.bam,0.474412246,0.503936222,1.00E-09,0.02165153,S21_1039_Punjab.CanFam31.bam,Pakistan
D_Pakistan_S21_1041_Waziristan.CanFam31.bam,0.505734818,0.486297043,1.00E-09,0.007968137,S21_1041_Waziristan.CanFam31.bam,Pakistan
D_Pakistan_S21_1042_Chitral.CanFam31.bam,0.553907315,0.446092683,1.00E-09,1.00E-09,S21_1042_Chitral.CanFam31.bam,Pakistan
F_CentralAsia_Kyrgyz_WLF179.CanFam31.bam,0.883050583,0.113281097,0.003668319,0.000000001,Kyrgyz_WLF179.CanFam31.bam,CentralAsia
F_CentralAsia_Kyrgyz_WLF180.CanFam31.bam,0.893324526,0.098022831,0.008403117,0.000249526,Kyrgyz_WLF180.CanFam31.bam,CentralAsia
B_Indian_BH6_Indian_Wolf.CanFam31.realigned.bam,1.00E-09,0.999999997,1.00E-09,1.00E-09,BH6_Indian_Wolf.CanFam31.realigned.bam,Indian
B_Indian_BH126_Indian_Wolf.CanFam31.realigned.bam,1.00E-09,0.999999997,1.00E-09,1.00E-09,BH126_Indian_Wolf.CanFam31.realigned.bam,Indian
B_Indian_Indianwolf_SRR13985171.CanFam31.bam,1.00E-09,0.999999997,1.00E-09,1.00E-09,Indianwolf_SRR13985171.CanFam31.bam,Indian
B_Indian_BH124_Indian_Wolf.CanFam31.realigned.bam,1.00E-09,0.999999997,1.00E-09,1.00E-09,BH124_Indian_Wolf.CanFam31.realigned.bam,Indian
B_Indian_Indianwolf_BH123.merge.CanFam31.bam,1.00E-09,0.999999997,1.00E-09,1.00E-09,Indianwolf_BH123.merge.CanFam31.bam,Indian
E_Tibetan_MYL_Tibetan_SAMN12565073.CanFam31.bam,0.898298004,0.000482787,0.088902659,0.01231655,MYL_Tibetan_SAMN12565073.CanFam31.bam,Tibetan
E_Tibetan_BH1_Tibetan_Wolf.CanFam31.realigned.bam,0.49490587,0.400254204,0.016698367,0.088141559,BH1_Tibetan_Wolf.CanFam31.realigned.bam,Tibetan
E_Tibetan_BH4_Tibetan_Wolf.CanFam31.realigned.bam,0.589927265,0.305549603,0.000000001,0.104523131,BH4_Tibetan_Wolf.CanFam31.realigned.bam,Tibetan
E_Tibetan_Chinese_CAN9A.CanFam31.realigned.bam,0.895022578,1.00E-09,0.10497742,1.00E-09,Chinese_CAN9A.CanFam31.realigned.bam,Tibetan
E_Tibetan_Chinese_CAN11.CanFam31.realigned.bam,0.938618047,1.00E-09,0.054915701,0.006466251,Chinese_CAN11.CanFam31.realigned.bam,Tibetan
E_Tibetan_Chinese_CAN16.CanFam31.realigned.bam,0.914730932,1.00E-09,0.085269066,1.00E-09,Chinese_CAN16.CanFam31.realigned.bam,Tibetan
E_Tibetan_Chinese_CAN32.CanFam31.realigned.bam,0.817211322,0.085063528,0.097725149,1.00E-09,Chinese_CAN32.CanFam31.realigned.bam,Tibetan
C_WestAsia_Iranwolf_SRR12009566.CanFam31.bam,0.52718886,0.34764786,1.00E-09,0.125163279,Iranwolf_SRR12009566.CanFam31.bam,WestAsia
C_WestAsia_Iranwolf_SRR12009567.CanFam31.bam,0.67312399,0.205927019,0.010770103,0.110178889,Iranwolf_SRR12009567.CanFam31.bam,WestAsia
C_WestAsia_Iranwolf_SRR12009568.merge.CanFam31.bam,0.681518048,0.284061711,3.89E-08,0.034420202,Iranwolf_SRR12009568.merge.CanFam31.bam,WestAsia
C_WestAsia_S21_2743_SaudiArabia.CanFam31.bam,0.639013873,0.255437346,0.012389252,0.093159529,S21_2743_SaudiArabia.CanFam31.bam,WestAsia
C_WestAsia_IranWolf.CanFam31.realigned.bam,0.703449195,0.233388732,0.019580113,0.04358196,IranWolf.CanFam31.realigned.bam,WestAsia
C_WestAsia_Saudi_wolf_B1.CanFam31.realigned.bam,0.578191454,0.275670554,0.083954216,0.062183777,Saudi_wolf_B1.CanFam31.realigned.bam,WestAsia
C_WestAsia_Syrian_wolf.CanFam31.realigned.bam,0.549101103,0.276271475,0.065846426,0.108780997,Syrian_wolf.CanFam31.realigned.bam,WestAsia
C_WestAsia_Lebanonwolf.CanFam31.bam,0.634081224,0.272328467,0.027485236,0.066105073,Lebanonwolf.CanFam31.bam,WestAsia
C_WestAsia_Iran_SAMC036723.CanFam31.bam,0.522726678,0.346608245,1.00E-09,0.130665076,Iran_SAMC036723.CanFam31.bam,WestAsia
C_WestAsia_Iran_SRR20326411.merge.CanFam31.bam,0.750723488,0.226179837,0.00820263,0.014894046,Iran_SRR20326411.merge.CanFam31.bam,WestAsia
C_WestAsia_Iran_SRR20326410.merge.CanFam31.bam,0.543009633,0.144239041,0.00690604,0.305845285,Iran_SRR20326410.merge.CanFam31.bam,WestAsia
C_WestAsia_Iran_SRR20326408.merge.CanFam31.bam,0.735347829,0.238328288,0.006405798,0.019918084,Iran_SRR20326408.merge.CanFam31.bam,WestAsia
C_WestAsia_MW387.CanFam31.realigned.bam,0.70888779,0.225131992,0.000000001,0.065980217,MW387.CanFam31.realigned.bam,WestAsia
H_Europe_PortugueseWolf.CanFam31.realigned.bam,0.979248832,0.000621004,1.00E-09,0.020130163,PortugueseWolf.CanFam31.realigned.bam,Europe
H_Europe_IberianWolf.CanFam31.realigned.bam,0.731804014,1.00E-09,1.00E-09,0.268195984,IberianWolf.CanFam31.realigned.bam,Europe
H_Europe_wSierraMorena.CanFam31.realigned.bam,0.507711218,1.00E-09,1.00E-09,0.49228878,wSierraMorena.CanFam31.realigned.bam,Europe
H_Europe_ItalianWolf_W050_SAMN02921313.CanFam31.realigned.bam,0.941132357,0.015391535,1.00E-09,0.043476106,ItalianWolf_W050_SAMN02921313.CanFam31.realigned.bam,Europe
H_Europe_MW005.CanFam31.realigned.bam,0.988547518,1.00E-09,1.00E-09,0.01145248,MW005.CanFam31.realigned.bam,Europe
H_Europe_MW347.CanFam31.realigned.bam,0.999999997,1.00E-09,1.00E-09,1.00E-09,MW347.CanFam31.realigned.bam,Europe
H_Europe_MW020.CanFam31.realigned.bam,0.99334903,0.002272402,1.00E-09,0.004378567,MW020.CanFam31.realigned.bam,Europe
H_Europe_MW045.CanFam31.realigned.bam,0.999999997,1.00E-09,1.00E-09,1.00E-09,MW045.CanFam31.realigned.bam,Europe
H_Europe_MW062.CanFam31.realigned.bam,0.977049506,0.005819606,1.00E-09,0.017130887,MW062.CanFam31.realigned.bam,Europe
H_Europe_MW515.CanFam31.realigned.bam,0.999999991,1.00E-09,1.00E-09,6.67E-09,MW515.CanFam31.realigned.bam,Europe
H_Europe_MW707A.CanFam31.realigned.bam,0.919882216,0.014371291,1.00E-09,0.065746492,MW707A.CanFam31.realigned.bam,Europe
H_Europe_MW703A.CanFam31.realigned.bam,0.971956455,0.006358636,0.000000001,0.021684907,MW703A.CanFam31.realigned.bam,Europe
H_Europe_MW706A.CanFam31.realigned.bam,0.956217727,0.015379309,0.000000001,0.028402963,MW706A.CanFam31.realigned.bam,Europe
H_Europe_MW1126.CanFam31.realigned.bam,0.961074651,0.000212616,1.00E-09,0.038712732,MW1126.CanFam31.realigned.bam,Europe
H_Europe_MW1135.CanFam31.realigned.bam,0.956272919,0.007261353,0.000000001,0.036465727,MW1135.CanFam31.realigned.bam,Europe
H_Europe_MW336.CanFam31.realigned.bam,0.946783901,0.015325086,1.00E-09,0.037891012,MW336.CanFam31.realigned.bam,EastAsia
H_Europe_MW339.CanFam31.realigned.bam,0.917662101,0.009459789,1.00E-09,0.072878109,MW339.CanFam31.realigned.bam,Europe
H_Europe_MW055.CanFam31.realigned.bam,0.992770594,0.003806819,1.00E-09,0.003422586,MW055.CanFam31.realigned.bam,Europe
