Names,A1,A2,A3,A4,A5,Sample,Group
D_Pakistan_Karakoram_S19_10678.CanFam31.bam,0.37410132,0.026297995,0.247849862,0.351750822,1.00E-09,Karakoram_S19_10678.CanFam31.bam,Pakistan
D_Pakistan_Karakoram_S19_10679.CanFam31.bam,0.341382261,1.00E-09,0.248501195,0.410116541,1.00E-09,Karakoram_S19_10679.CanFam31.bam,Pakistan
D_Pakistan_DGKhan_S19_10680.CanFam31.bam,0.254969624,1.00E-09,1.00E-09,0.745030373,1.00E-09,DGKhan_S19_10680.CanFam31.bam,Pakistan
D_Pakistan_S21_1037_Kolhu.CanFam31.bam,0.313516548,0.025159694,1.00E-09,0.661323756,1.00E-09,S21_1037_Kolhu.CanFam31.bam,Pakistan
D_Pakistan_S21_1038_Chitral.CanFam31.bam,0.382311458,1.00E-09,0.294705169,0.322983372,1.00E-09,S21_1038_Chitral.CanFam31.bam,Pakistan
D_Pakistan_S21_1039_Punjab.CanFam31.bam,0.463096864,6.61E-05,0.069684836,0.467152164,0.000000001,S21_1039_Punjab.CanFam31.bam,Pakistan
D_Pakistan_S21_1041_Waziristan.CanFam31.bam,0.386981955,0.014795065,0.141090303,0.457132676,1.00E-09,S21_1041_Waziristan.CanFam31.bam,Pakistan
D_Pakistan_S21_1042_Chitral.CanFam31.bam,0.428800978,1.00E-09,0.153672608,0.417526413,1.00E-09,S21_1042_Chitral.CanFam31.bam,Pakistan
F_CentralAsia_Kyrgyz_WLF179.CanFam31.bam,0.306000336,0.03095942,0.555732146,0.107308096,0.000000001,Kyrgyz_WLF179.CanFam31.bam,CentralAsia
F_CentralAsia_Kyrgyz_WLF180.CanFam31.bam,0.40170341,0.000000001,0.511977494,0.085984752,0.000334343,Kyrgyz_WLF180.CanFam31.bam,CentralAsia
B_Indian_BH6_Indian_Wolf.CanFam31.realigned.bam,1.00E-09,1.00E-09,1.00E-09,0.999999996,1.00E-09,BH6_Indian_Wolf.CanFam31.realigned.bam,Indian
B_Indian_BH126_Indian_Wolf.CanFam31.realigned.bam,1.00E-09,1.00E-09,1.00E-09,0.999999996,1.00E-09,BH126_Indian_Wolf.CanFam31.realigned.bam,Indian
B_Indian_Indianwolf_SRR13985171.CanFam31.bam,1.00E-09,1.00E-09,1.00E-09,0.999999996,1.00E-09,Indianwolf_SRR13985171.CanFam31.bam,Indian
B_Indian_BH124_Indian_Wolf.CanFam31.realigned.bam,1.00E-09,1.00E-09,1.00E-09,0.999999996,1.00E-09,BH124_Indian_Wolf.CanFam31.realigned.bam,Indian
B_Indian_Indianwolf_BH123.merge.CanFam31.bam,1.00E-09,1.00E-09,1.00E-09,0.999999996,1.00E-09,Indianwolf_BH123.merge.CanFam31.bam,Indian
E_Tibetan_MYL_Tibetan_SAMN12565073.CanFam31.bam,1.00E-09,0.538165327,0.46183467,1.00E-09,1.00E-09,MYL_Tibetan_SAMN12565073.CanFam31.bam,Tibetan
