Names,A1,A2,A3,A4,A5,A6,A7,Sample,Group
D_Pakistan_Karakoram_S19_10678.CanFam31.bam,1.00E-09,0.064585945,0.138729402,0.381854495,1.00E-09,0.174971438,0.239858719,Karakoram_S19_10678.CanFam31.bam,Pakistan
D_Pakistan_Karakoram_S19_10679.CanFam31.bam,1.00E-09,0.016899908,0.08572858,0.370310448,1.00E-09,0.221816118,0.305244944,Karakoram_S19_10679.CanFam31.bam,Pakistan
D_Pakistan_DGKhan_S19_10680.CanFam31.bam,1.00E-09,1.00E-09,1.00E-09,0.404140908,1.00E-09,1.00E-09,0.595859087,DGKhan_S19_10680.CanFam31.bam,Pakistan
D_Pakistan_S21_1037_Kolhu.CanFam31.bam,0.020975572,2.54E-06,0.050163871,0.379904512,1.00E-09,1.00E-09,0.5489535,S21_1037_Kolhu.CanFam31.bam,Pakistan
D_Pakistan_S21_1038_Chitral.CanFam31.bam,1.00E-09,0.029167208,0.046843232,0.513203731,1.00E-09,0.230064697,0.18072113,S21_1038_Chitral.CanFam31.bam,Pakistan
D_Pakistan_S21_1039_Punjab.CanFam31.bam,0.005419093,1.00E-09,0.142384606,0.445476797,1.00E-09,0.063166762,0.34355274,S21_1039_Punjab.CanFam31.bam,Pakistan
D_Pakistan_S21_1041_Waziristan.CanFam31.bam,6.02E-09,0.023258399,0.080430303,0.465611003,1.00E-09,0.106351595,0.324348694,S21_1041_Waziristan.CanFam31.bam,Pakistan
D_Pakistan_S21_1042_Chitral.CanFam31.bam,1.00E-09,0.015154458,0.062062126,0.576427804,1.00E-09,0.089990056,0.256365555,S21_1042_Chitral.CanFam31.bam,Pakistan
F_CentralAsia_Kyrgyz_WLF179.CanFam31.bam,1.00E-09,0.087623094,0.130905142,0.253496082,1.00E-09,0.482369599,0.045606081,Kyrgyz_WLF179.CanFam31.bam,CentralAsia
F_CentralAsia_Kyrgyz_WLF180.CanFam31.bam,1.00E-09,0.031435002,0.174987017,0.292217299,1.00E-09,0.480993726,0.020366954,Kyrgyz_WLF180.CanFam31.bam,CentralAsia
B_Indian_BH6_Indian_Wolf.CanFam31.realigned.bam,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.999999994,BH6_Indian_Wolf.CanFam31.realigned.bam,Indian
B_Indian_BH126_Indian_Wolf.CanFam31.realigned.bam,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.999999994,BH126_Indian_Wolf.CanFam31.realigned.bam,Indian
B_Indian_Indianwolf_SRR13985171.CanFam31.bam,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.999999994,Indianwolf_SRR13985171.CanFam31.bam,Indian
B_Indian_BH124_Indian_Wolf.CanFam31.realigned.bam,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.999999994,BH124_Indian_Wolf.CanFam31.realigned.bam,Indian
B_Indian_Indianwolf_BH123.merge.CanFam31.bam,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.999999994,Indianwolf_BH123.merge.CanFam31.bam,Indian
E_Tibetan_MYL_Tibetan_SAMN12565073.CanFam31.bam,1.00E-09,0.712385911,1.00E-09,1.00E-09,1.00E-09,0.287614084,1.00E-09,MYL_Tibetan_SAMN12565073.CanFam31.bam,Tibetan
E_Tibetan_BH1_Tibetan_Wolf.CanFam31.realigned.bam,0.086380926,0.254841261,0.062570334,0.300973771,1.00E-09,9.87E-07,0.295232721,BH1_Tibetan_Wolf.CanFam31.realigned.bam,Tibetan
