Names,Names2,A1,A2,A3,A4,A5,A6,A7,A8,Sample,Group,Names,,,
D_Pakistan_Karakoram_S19_10678.CanFam31.bam,D_Pakistan_Karakoram_S19_10678,0.149499104,1E-09,0.233068614,1E-09,0.052722974,0.20118045,0.290471727,0.073057129,Karakoram_S19_10678.CanFam31.bam,Pakistan,D_Pakistan_Karakoram_S19_10678,CanFam31,bam,
D_Pakistan_Karakoram_S19_10679.CanFam31.bam,D_Pakistan_Karakoram_S19_10679,0.094368967,1E-09,0.301164027,1E-09,0.008187075,0.229132568,0.239295847,0.127851514,Karakoram_S19_10679.CanFam31.bam,Pakistan,D_Pakistan_Karakoram_S19_10679,CanFam31,bam,
D_Pakistan_DGKhan_S19_10680.CanFam31.bam,D_Pakistan_DGKhan_S19_10680,1E-09,1E-09,0.60420584,1E-09,1E-09,0.395794154,1E-09,1E-09,DGKhan_S19_10680.CanFam31.bam,Pakistan,D_Pakistan_DGKhan_S19_10680,CanFam31,bam,
D_Pakistan_S21_1037_Kolhu.CanFam31.bam,D_Pakistan_S21_1037_Kolhu,0.043648099,1E-09,0.547572241,0.010647775,1E-09,0.278331366,0.119800517,1E-09,S21_1037_Kolhu.CanFam31.bam,Pakistan,D_Pakistan_S21_1037_Kolhu,CanFam31,bam,
D_Pakistan_S21_1038_Chitral.CanFam31.bam,D_Pakistan_S21_1038_Chitral,0.047504687,1E-09,0.167167594,1E-09,1E-09,0.245859454,0.52745294,0.012015322,S21_1038_Chitral.CanFam31.bam,Pakistan,D_Pakistan_S21_1038_Chitral,CanFam31,bam,
D_Pakistan_S21_1039_Punjab.CanFam31.bam,D_Pakistan_S21_1039_Punjab,0.150007452,1E-09,0.346430842,1E-09,1E-09,0.373407069,0.095461116,0.034693519,S21_1039_Punjab.CanFam31.bam,Pakistan,D_Pakistan_S21_1039_Punjab,CanFam31,bam,
D_Pakistan_S21_1041_Waziristan.CanFam31.bam,D_Pakistan_S21_1041_Waziristan,0.091159111,1E-09,0.324200294,1E-09,0.011480547,0.316811157,0.227974324,0.028374565,S21_1041_Waziristan.CanFam31.bam,Pakistan,D_Pakistan_S21_1041_Waziristan,CanFam31,bam,
D_Pakistan_S21_1042_Chitral.CanFam31.bam,D_Pakistan_S21_1042_Chitral,9.24519E-07,1E-09,0.240290085,1E-09,1E-09,0.254485488,0.505223499,1E-09,S21_1042_Chitral.CanFam31.bam,Pakistan,D_Pakistan_S21_1042_Chitral,CanFam31,bam,
F_CentralAsia_Kyrgyz_WLF179.CanFam31.bam,F_CentralAsia_Kyrgyz_WLF179,0.131894458,1E-09,0.03765474,1E-09,0.077476868,0.124217681,0.252469414,0.376286838,Kyrgyz_WLF179.CanFam31.bam,CentralAsia,F_CentralAsia_Kyrgyz_WLF179,CanFam31,bam,
F_CentralAsia_Kyrgyz_WLF180.CanFam31.bam,F_CentralAsia_Kyrgyz_WLF180,0.177857818,1E-09,0.015055196,1E-09,0.024676708,0.190138357,0.185996981,0.406274937,Kyrgyz_WLF180.CanFam31.bam,CentralAsia,F_CentralAsia_Kyrgyz_WLF180,CanFam31,bam,
B_Indian_BH6_Indian_Wolf.CanFam31.realigned.bam,B_Indian_BH6,1E-09,1E-09,0.999999993,1E-09,1E-09,1E-09,1E-09,1E-09,BH6_Indian_Wolf.CanFam31.realigned.bam,Indian,B_Indian_BH6,CanFam31,realigned,bam
B_Indian_BH126_Indian_Wolf.CanFam31.realigned.bam,B_Indian_BH126,1E-09,1E-09,0.999999993,1E-09,1E-09,1E-09,1E-09,1E-09,BH126_Indian_Wolf.CanFam31.realigned.bam,Indian,B_Indian_BH126,CanFam31,realigned,bam
B_Indian_Indianwolf_SRR13985171.CanFam31.bam,B_Indian_SRR13985171,1E-09,1E-09,0.999999993,1E-09,1E-09,1E-09,1E-09,1E-09,Indianwolf_SRR13985171.CanFam31.bam,Indian,B_Indian_SRR13985171,CanFam31,bam,
B_Indian_BH124_Indian_Wolf.CanFam31.realigned.bam,B_Indian_BH124,1E-09,1E-09,0.999999993,1E-09,1E-09,1E-09,1E-09,1E-09,BH124_Indian_Wolf.CanFam31.realigned.bam,Indian,B_Indian_BH124,CanFam31,realigned,bam
B_Indian_Indianwolf_BH123.merge.CanFam31.bam,B_Indian_BH123,1E-09,1E-09,0.999999993,1E-09,1E-09,1E-09,1E-09,1E-09,Indianwolf_BH123.merge.CanFam31.bam,Indian,B_Indian_BH123,merge,CanFam31,bam
E_Tibetan_MYL_Tibetan_SAMN12565073.CanFam31.bam,E_Tibetan_MYL_Ganzi_Qinghai,1E-09,1E-09,1E-09,1E-09,0.705893144,1E-09,1E-09,0.29410685,MYL_Tibetan_SAMN12565073.CanFam31.bam,Tibetan,E_Tibetan_MYL_Ganzi_Qinghai,CanFam31,bam,
E_Tibetan_BH1_Tibetan_Wolf.CanFam31.realigned.bam,E_Tibetan_BH1_Ladakh,0.078451321,1E-09,0.300104042,0.075201157,0.251332318,0.268503131,0.021998599,0.004409432,BH1_Tibetan_Wolf.CanFam31.realigned.bam,Tibetan,E_Tibetan_BH1_Ladakh,CanFam31,realigned,bam
E_Tibetan_BH4_Tibetan_Wolf.CanFam31.realigned.bam,E_Tibetan_BH4_Ladakh,0.037034729,1E-09,0.238419913,0.096275127,0.439573055,0.188697172,1E-09,1E-09,BH4_Tibetan_Wolf.CanFam31.realigned.bam,Tibetan,E_Tibetan_BH4_Ladakh,CanFam31,realigned,bam
E_Tibetan_Chinese_CAN9A.CanFam31.realigned.bam,E_Tibetan_Chinese_CAN9A_Tibetan_Ngari,1E-09,1E-09,1E-09,1E-09,0.999999993,1E-09,1E-09,1E-09,Chinese_CAN9A.CanFam31.realigned.bam,Tibetan,E_Tibetan_Chinese_CAN9A_Tibetan_Ngari,CanFam31,realigned,bam
E_Tibetan_Chinese_CAN11.CanFam31.realigned.bam,E_Tibetan_Chinese_CAN11_Tibetan_Lhasa,1E-09,1E-09,1E-09,1E-09,0.644257144,1E-09,1E-09,0.35574285,Chinese_CAN11.CanFam31.realigned.bam,Tibetan,E_Tibetan_Chinese_CAN11_Tibetan_Lhasa,CanFam31,realigned,bam
E_Tibetan_Chinese_CAN16.CanFam31.realigned.bam,E_Tibetan_Chinese_CAN16_Qinghai,1E-09,1E-09,1E-09,1E-09,0.999999993,1E-09,1E-09,1E-09,Chinese_CAN16.CanFam31.realigned.bam,Tibetan,E_Tibetan_Chinese_CAN16_Qinghai,CanFam31,realigned,bam
