A1,A2,Sample,Names
0.146929312,0.853070688,Karakoram_S19_10678.CanFam31.bam,D_Pakistan_Karakoram_S19_10678.CanFam31.bam
0.065620396,0.934379604,Karakoram_S19_10679.CanFam31.bam,D_Pakistan_Karakoram_S19_10679.CanFam31.bam
0.000000001,0.999999999,DGKhan_S19_10680.CanFam31.bam,D_Pakistan_DGKhan_S19_10680.CanFam31.bam
0.006121222,0.993878778,S21_1037_Kolhu.CanFam31.bam,D_Pakistan_S21_1037_Kolhu.CanFam31.bam
0.047452868,0.952547132,S21_1038_Chitral.CanFam31.bam,D_Pakistan_S21_1038_Chitral.CanFam31.bam
0.009083431,0.990916569,S21_1039_Punjab.CanFam31.bam,D_Pakistan_S21_1039_Punjab.CanFam31.bam
0.012689484,0.987310516,S21_1041_Waziristan.CanFam31.bam,D_Pakistan_S21_1041_Waziristan.CanFam31.bam
0.035199308,0.964800692,S21_1042_Chitral.CanFam31.bam,D_Pakistan_S21_1042_Chitral.CanFam31.bam
0.084418265,0.915581735,Kyrgyz_WLF179.CanFam31.bam,F_CentralAsia_Kyrgyz_WLF179.CanFam31.bam
0.077955564,0.922044436,Kyrgyz_WLF180.CanFam31.bam,F_CentralAsia_Kyrgyz_WLF180.CanFam31.bam
0.000000001,0.999999999,BH6_Indian_Wolf.CanFam31.realigned.bam,B_Indian_BH6_Indian_Wolf.CanFam31.realigned.bam
0.000000001,0.999999999,BH126_Indian_Wolf.CanFam31.realigned.bam,B_Indian_BH126_Indian_Wolf.CanFam31.realigned.bam
0.000000001,0.999999999,Indianwolf_SRR13985171.CanFam31.bam,B_Indian_Indianwolf_SRR13985171.CanFam31.bam
0.000000001,0.999999999,BH124_Indian_Wolf.CanFam31.realigned.bam,B_Indian_BH124_Indian_Wolf.CanFam31.realigned.bam
0.000000001,0.999999999,Indianwolf_BH123.merge.CanFam31.bam,B_Indian_Indianwolf_BH123.merge.CanFam31.bam
0.770768073,0.229231927,MYL_Tibetan_SAMN12565073.CanFam31.bam,E_Tibetan_MYL_Tibetan_SAMN12565073.CanFam31.bam
0.373205949,0.626794051,BH1_Tibetan_Wolf.CanFam31.realigned.bam,E_Tibetan_BH1_Tibetan_Wolf.CanFam31.realigned.bam
0.547345727,0.452654273,BH4_Tibetan_Wolf.CanFam31.realigned.bam,E_Tibetan_BH4_Tibetan_Wolf.CanFam31.realigned.bam
0.999999999,0.000000001,Chinese_CAN9A.CanFam31.realigned.bam,E_Tibetan_Chinese_CAN9A.CanFam31.realigned.bam
0.725862156,0.274137844,Chinese_CAN11.CanFam31.realigned.bam,E_Tibetan_Chinese_CAN11.CanFam31.realigned.bam
0.849158871,0.150841129,Chinese_CAN16.CanFam31.realigned.bam,E_Tibetan_Chinese_CAN16.CanFam31.realigned.bam
0.999999999,0.000000001,Chinese_CAN32.CanFam31.realigned.bam,E_Tibetan_Chinese_CAN32.CanFam31.realigned.bam
0.000000001,0.999999999,Iranwolf_SRR12009566.CanFam31.bam,C_WestAsia_Iranwolf_SRR12009566.CanFam31.bam
0.000115068,0.999884932,Iranwolf_SRR12009567.CanFam31.bam,C_WestAsia_Iranwolf_SRR12009567.CanFam31.bam
0.000907669,0.999092331,Iranwolf_SRR12009568.merge.CanFam31.bam,C_WestAsia_Iranwolf_SRR12009568.merge.CanFam31.bam
0.018424596,0.981575404,S21_2743_SaudiArabia.CanFam31.bam,C_WestAsia_S21_2743_SaudiArabia.CanFam31.bam
0.029657488,0.970342512,IranWolf.CanFam31.realigned.bam,C_WestAsia_IranWolf.CanFam31.realigned.bam
0.066114441,0.933885559,Saudi_wolf_B1.CanFam31.realigned.bam,C_WestAsia_Saudi_wolf_B1.CanFam31.realigned.bam
0.041837776,0.958162224,Syrian_wolf.CanFam31.realigned.bam,C_WestAsia_Syrian_wolf.CanFam31.realigned.bam
0.023839959,0.976160041,Lebanonwolf.CanFam31.bam,C_WestAsia_Lebanonwolf.CanFam31.bam
0.000000001,0.999999999,Iran_SAMC036723.CanFam31.bam,C_WestAsia_Iran_SAMC036723.CanFam31.bam
0.017264399,0.982735601,Iran_SRR20326411.merge.CanFam31.bam,C_WestAsia_Iran_SRR20326411.merge.CanFam31.bam
0.001562269,0.998437731,Iran_SRR20326410.merge.CanFam31.bam,C_WestAsia_Iran_SRR20326410.merge.CanFam31.bam
0.022669081,0.977330919,Iran_SRR20326408.merge.CanFam31.bam,C_WestAsia_Iran_SRR20326408.merge.CanFam31.bam
0.008270451,0.991729549,norwegian_wolf,C_WestAsia_MW387.CanFam31.realigned.bam
0.000000001,0.999999999,PortugueseWolf.CanFam31.realigned.bam,H_Europe_PortugueseWolf.CanFam31.realigned.bam
0.000000001,0.999999999,IberianWolf.CanFam31.realigned.bam,H_Europe_IberianWolf.CanFam31.realigned.bam
0.008358906,0.991641094,wSierraMorena.CanFam31.realigned.bam,H_Europe_wSierraMorena.CanFam31.realigned.bam
0.000000001,0.999999999,ItalianWolf_W050_SAMN02921313.CanFam31.realigned.bam,H_Europe_ItalianWolf_W050_SAMN02921313.CanFam31.realigned.bam
0.000000001,0.999999999,MW005.CanFam31.realigned.bam,H_Europe_MW005.CanFam31.realigned.bam
0.000000001,0.999999999,MW347.CanFam31.realigned.bam,H_Europe_MW347.CanFam31.realigned.bam
0.000000001,0.999999999,MW020.CanFam31.realigned.bam,H_Europe_MW020.CanFam31.realigned.bam
0.000000001,0.999999999,MW045.CanFam31.realigned.bam,H_Europe_MW045.CanFam31.realigned.bam
0.000000001,0.999999999,MW062.CanFam31.realigned.bam,H_Europe_MW062.CanFam31.realigned.bam
0.000000001,0.999999999,MW515.CanFam31.realigned.bam,H_Europe_MW515.CanFam31.realigned.bam
0.000000001,0.999999999,MW707A.CanFam31.realigned.bam,H_Europe_MW707A.CanFam31.realigned.bam
0.000000001,0.999999999,MW703A.CanFam31.realigned.bam,H_Europe_MW703A.CanFam31.realigned.bam
0.000000001,0.999999999,MW706A.CanFam31.realigned.bam,H_Europe_MW706A.CanFam31.realigned.bam
0.000000001,0.999999999,MW1126.CanFam31.realigned.bam,H_Europe_MW1126.CanFam31.realigned.bam
0.000000001,0.999999999,MW1135.CanFam31.realigned.bam,H_Europe_MW1135.CanFam31.realigned.bam
0.000000001,0.999999999,MW339.CanFam31.realigned.bam,H_Europe_MW339.CanFam31.realigned.bam
0.000000001,0.999999999,MW055.CanFam31.realigned.bam,H_Europe_MW055.CanFam31.realigned.bam
0.000000001,0.999999999,Wang_GW3.CanFam31.realigned.bam,H_Europe_Wang_GW3.CanFam31.realigned.bam
0.105989848,0.894010152,Chinese_CAN24.CanFam31.realigned.bam,F_CentralAsia_Chinese_CAN24.CanFam31.realigned.bam
0.099392022,0.900607978,Chinese_CAN30.CanFam31.realigned.bam,F_CentralAsia_Chinese_CAN30.CanFam31.realigned.bam
0.084142366,0.915857634,Wang_GW1.CanFam31.realigned.bam,F_CentralAsia_Wang_GW1.CanFam31.realigned.bam
0.095234986,0.904765014,Kyrgyzstan_SRR20326406.merge.CanFam31.bam,F_CentralAsia_Kyrgyzstan_SRR20326406.merge.CanFam31.bam
0.101776894,0.898223106,Kazakhstan_SRR20326405.CanFam31.bam,F_CentralAsia_Kazakhstan_SRR20326405.CanFam31.bam
0.034551413,0.965448587,norwegian_wolf,F_CentralAsia_AW012.CanFam31.realigned.bam
0.106564308,0.893435692,Russia_SRR20326404.merge.CanFam31.bam,F_CentralAsia_Russia_SRR20326404.merge.CanFam31.bam
0.107064045,0.892935955,Russia_SRR20326403.merge.CanFam31.bam,F_CentralAsia_Russia_SRR20326403.merge.CanFam31.bam
0.114326201,0.885673799,Russia_SRR20326401.CanFam31.bam,F_CentralAsia_Russia_SRR20326401.CanFam31.bam
0.14661511,0.85338489,Russia_SRR20326400.merge.CanFam31.bam,F_CentralAsia_Russia_SRR20326400.merge.CanFam31.bam
0.044097395,0.955902605,Russia_SRR20326388.merge.CanFam31.bam,F_CentralAsia_Russia_SRR20326388.merge.CanFam31.bam
0.149422811,0.850577189,Tajikistan_SRR20326385.merge.CanFam31.bam,F_CentralAsia_Tajikistan_SRR20326385.merge.CanFam31.bam
0.108508623,0.891491377,Tajikistan_SRR20326384.CanFam31.bam,F_CentralAsia_Tajikistan_SRR20326384.CanFam31.bam
0.09472485,0.90527515,Tajikisan_SRR20326383.merge.CanFam31.bam,F_CentralAsia_Tajikisan_SRR20326383.merge.CanFam31.bam
0.103289491,0.896710509,Tajikistan_SRR20326382.merge.CanFam31.bam,F_CentralAsia_Tajikistan_SRR20326382.merge.CanFam31.bam
