A1,A2,A3,Sample,Names
0.325555221,0.000000001,0.674444778,Karakoram_S19_10678.CanFam31.bam,D_Pakistan_Karakoram_S19_10678.CanFam31.bam
0.389199174,1.00E-09,0.610800825,Karakoram_S19_10679.CanFam31.bam,D_Pakistan_Karakoram_S19_10679.CanFam31.bam
0.748715343,1E-09,0.251284656,DGKhan_S19_10680.CanFam31.bam,D_Pakistan_DGKhan_S19_10680.CanFam31.bam
0.622166448,1E-09,0.377833551,S21_1037_Kolhu.CanFam31.bam,D_Pakistan_S21_1037_Kolhu.CanFam31.bam
0.400171387,1E-09,0.599828612,S21_1038_Chitral.CanFam31.bam,D_Pakistan_S21_1038_Chitral.CanFam31.bam
0.580992264,1E-09,0.419007735,S21_1039_Punjab.CanFam31.bam,D_Pakistan_S21_1039_Punjab.CanFam31.bam
0.531411889,1E-09,0.46858811,S21_1041_Waziristan.CanFam31.bam,D_Pakistan_S21_1041_Waziristan.CanFam31.bam
0.424457464,1E-09,0.575542535,S21_1042_Chitral.CanFam31.bam,D_Pakistan_S21_1042_Chitral.CanFam31.bam
0.122905262,0.000000001,0.877094737,Kyrgyz_WLF179.CanFam31.bam,F_CentralAsia_Kyrgyz_WLF179.CanFam31.bam
0.124093929,0.000000001,0.87590607,Kyrgyz_WLF180.CanFam31.bam,F_CentralAsia_Kyrgyz_WLF180.CanFam31.bam
0.999999998,1E-09,1E-09,BH6_Indian_Wolf.CanFam31.realigned.bam,B_Indian_BH6_Indian_Wolf.CanFam31.realigned.bam
0.999999998,1E-09,1E-09,BH126_Indian_Wolf.CanFam31.realigned.bam,B_Indian_BH126_Indian_Wolf.CanFam31.realigned.bam
0.999999998,1E-09,1E-09,Indianwolf_SRR13985171.CanFam31.bam,B_Indian_Indianwolf_SRR13985171.CanFam31.bam
0.999999998,1E-09,1E-09,BH124_Indian_Wolf.CanFam31.realigned.bam,B_Indian_BH124_Indian_Wolf.CanFam31.realigned.bam
0.999999998,1E-09,1E-09,Indianwolf_BH123.merge.CanFam31.bam,B_Indian_Indianwolf_BH123.merge.CanFam31.bam
1E-09,0.042973972,0.957026027,MYL_Tibetan_SAMN12565073.CanFam31.bam,E_Tibetan_MYL_Tibetan_SAMN12565073.CanFam31.bam
0.282625942,0.006120722,0.711253336,BH1_Tibetan_Wolf.CanFam31.realigned.bam,E_Tibetan_BH1_Tibetan_Wolf.CanFam31.realigned.bam
0.202748867,0.02110968,0.776141453,BH4_Tibetan_Wolf.CanFam31.realigned.bam,E_Tibetan_BH4_Tibetan_Wolf.CanFam31.realigned.bam
