A1,A2,A3,A4,Sample,Names
1E-09,0.319007594,0.492843111,0.188149294,Karakoram_S19_10678.CanFam31.bam,D_Pakistan_Karakoram_S19_10678.CanFam31.bam
1E-09,0.373656409,0.537505374,0.088838217,Karakoram_S19_10679.CanFam31.bam,D_Pakistan_Karakoram_S19_10679.CanFam31.bam
1E-09,0.722667874,0.277332124,1E-09,DGKhan_S19_10680.CanFam31.bam,D_Pakistan_DGKhan_S19_10680.CanFam31.bam
1E-09,0.601875241,0.398124757,1E-09,S21_1037_Kolhu.CanFam31.bam,D_Pakistan_S21_1037_Kolhu.CanFam31.bam
1E-09,0.382127891,0.552031119,0.065840989,S21_1038_Chitral.CanFam31.bam,D_Pakistan_S21_1038_Chitral.CanFam31.bam
1E-09,0.561399364,0.438600634,1E-09,S21_1039_Punjab.CanFam31.bam,D_Pakistan_S21_1039_Punjab.CanFam31.bam
1E-09,0.512071833,0.48394009,0.003988076,S21_1041_Waziristan.CanFam31.bam,D_Pakistan_S21_1041_Waziristan.CanFam31.bam
1E-09,0.4056566,0.546230102,0.048113297,S21_1042_Chitral.CanFam31.bam,D_Pakistan_S21_1042_Chitral.CanFam31.bam
0.000000001,0.11088506,0.761923423,0.127191516,Kyrgyz_WLF179.CanFam31.bam,F_CentralAsia_Kyrgyz_WLF179.CanFam31.bam
0.000000001,0.111507483,0.770755277,0.117737239,Kyrgyz_WLF180.CanFam31.bam,F_CentralAsia_Kyrgyz_WLF180.CanFam31.bam
1E-09,0.999999997,1E-09,1E-09,BH6_Indian_Wolf.CanFam31.realigned.bam,B_Indian_BH6_Indian_Wolf.CanFam31.realigned.bam
1E-09,0.999999997,1E-09,1E-09,BH126_Indian_Wolf.CanFam31.realigned.bam,B_Indian_BH126_Indian_Wolf.CanFam31.realigned.bam
1E-09,0.999999997,1E-09,1E-09,Indianwolf_SRR13985171.CanFam31.bam,B_Indian_Indianwolf_SRR13985171.CanFam31.bam
1E-09,0.999999997,1E-09,1E-09,BH124_Indian_Wolf.CanFam31.realigned.bam,B_Indian_BH124_Indian_Wolf.CanFam31.realigned.bam
1E-09,0.999999997,1E-09,1E-09,Indianwolf_BH123.merge.CanFam31.bam,B_Indian_Indianwolf_BH123.merge.CanFam31.bam
1E-09,1E-09,1E-09,0.999999997,MYL_Tibetan_SAMN12565073.CanFam31.bam,E_Tibetan_MYL_Tibetan_SAMN12565073.CanFam31.bam
1E-09,0.3013075,0.242094313,0.456598186,BH1_Tibetan_Wolf.CanFam31.realigned.bam,E_Tibetan_BH1_Tibetan_Wolf.CanFam31.realigned.bam
1E-09,0.240215773,0.079166761,0.680617464,BH4_Tibetan_Wolf.CanFam31.realigned.bam,E_Tibetan_BH4_Tibetan_Wolf.CanFam31.realigned.bam
1E-09,1E-09,1E-09,0.999999997,Chinese_CAN9A.CanFam31.realigned.bam,E_Tibetan_Chinese_CAN9A.CanFam31.realigned.bam
1E-09,1E-09,1E-09,0.999999997,Chinese_CAN11.CanFam31.realigned.bam,E_Tibetan_Chinese_CAN11.CanFam31.realigned.bam
1E-09,1E-09,1E-09,0.999999997,Chinese_CAN16.CanFam31.realigned.bam,E_Tibetan_Chinese_CAN16.CanFam31.realigned.bam
1E-09,1E-09,1E-09,0.999999997,Chinese_CAN32.CanFam31.realigned.bam,E_Tibetan_Chinese_CAN32.CanFam31.realigned.bam
1E-09,0.289370822,0.710629176,1E-09,Iranwolf_SRR12009566.CanFam31.bam,C_WestAsia_Iranwolf_SRR12009566.CanFam31.bam
