A1,A2,A3,A4,A5,Sample,Names
0.313263463,1E-09,0.138020343,0.226177372,0.322538821,Karakoram_S19_10678.CanFam31.bam,D_Pakistan_Karakoram_S19_10678.CanFam31.bam
0.367820529,1E-09,0.04463592,0.241055189,0.346488361,Karakoram_S19_10679.CanFam31.bam,D_Pakistan_Karakoram_S19_10679.CanFam31.bam
0.717976907,1E-09,1E-09,1E-09,0.28202309,DGKhan_S19_10680.CanFam31.bam,D_Pakistan_DGKhan_S19_10680.CanFam31.bam
0.594086462,1E-09,1E-09,0.058654529,0.347259006,S21_1037_Kolhu.CanFam31.bam,D_Pakistan_S21_1037_Kolhu.CanFam31.bam
0.376606361,1E-09,0.026966136,0.229987129,0.366440374,S21_1038_Chitral.CanFam31.bam,D_Pakistan_S21_1038_Chitral.CanFam31.bam
0.55139804,1E-09,1E-09,0.090051054,0.358550904,S21_1039_Punjab.CanFam31.bam,D_Pakistan_S21_1039_Punjab.CanFam31.bam
0.5018815,1E-09,1E-09,0.111499851,0.386618647,S21_1041_Waziristan.CanFam31.bam,D_Pakistan_S21_1041_Waziristan.CanFam31.bam
0.400331845,0.000000001,0.011057565,0.225023801,0.363586789,S21_1042_Chitral.CanFam31.bam,D_Pakistan_S21_1042_Chitral.CanFam31.bam
0.113807158,1E-09,0.008905564,0.637939499,0.239347778,Kyrgyz_WLF179.CanFam31.bam,F_CentralAsia_Kyrgyz_WLF179.CanFam31.bam
0.114235758,1E-09,0.001760257,0.633021683,0.250982301,Kyrgyz_WLF180.CanFam31.bam,F_CentralAsia_Kyrgyz_WLF180.CanFam31.bam
0.999999996,1E-09,1E-09,1E-09,1E-09,BH6_Indian_Wolf.CanFam31.realigned.bam,B_Indian_BH6_Indian_Wolf.CanFam31.realigned.bam
0.999999996,1E-09,1E-09,1E-09,1E-09,BH126_Indian_Wolf.CanFam31.realigned.bam,B_Indian_BH126_Indian_Wolf.CanFam31.realigned.bam
0.999999996,1E-09,1E-09,1E-09,1E-09,Indianwolf_SRR13985171.CanFam31.bam,B_Indian_Indianwolf_SRR13985171.CanFam31.bam
0.999999996,1E-09,1E-09,1E-09,1E-09,BH124_Indian_Wolf.CanFam31.realigned.bam,B_Indian_BH124_Indian_Wolf.CanFam31.realigned.bam
0.999999996,1E-09,1E-09,1E-09,1E-09,Indianwolf_BH123.merge.CanFam31.bam,B_Indian_Indianwolf_BH123.merge.CanFam31.bam
1E-09,1E-09,0.999999996,1E-09,1E-09,MYL_Tibetan_SAMN12565073.CanFam31.bam,E_Tibetan_MYL_Tibetan_SAMN12565073.CanFam31.bam
0.285826475,1E-09,0.439606955,1E-09,0.274566568,BH1_Tibetan_Wolf.CanFam31.realigned.bam,E_Tibetan_BH1_Tibetan_Wolf.CanFam31.realigned.bam
0.2184831,1E-09,0.653587492,1E-09,0.127929406,BH4_Tibetan_Wolf.CanFam31.realigned.bam,E_Tibetan_BH4_Tibetan_Wolf.CanFam31.realigned.bam
1E-09,1E-09,0.999999996,1E-09,1E-09,Chinese_CAN9A.CanFam31.realigned.bam,E_Tibetan_Chinese_CAN9A.CanFam31.realigned.bam
1E-09,1E-09,0.805442208,0.194557789,1E-09,Chinese_CAN11.CanFam31.realigned.bam,E_Tibetan_Chinese_CAN11.CanFam31.realigned.bam
1E-09,1E-09,0.999999996,1E-09,1E-09,Chinese_CAN16.CanFam31.realigned.bam,E_Tibetan_Chinese_CAN16.CanFam31.realigned.bam
1E-09,1E-09,0.999999996,1E-09,1E-09,Chinese_CAN32.CanFam31.realigned.bam,E_Tibetan_Chinese_CAN32.CanFam31.realigned.bam
0.251149967,1E-09,1E-09,1E-09,0.74885003,Iranwolf_SRR12009566.CanFam31.bam,C_WestAsia_Iranwolf_SRR12009566.CanFam31.bam
0.199589612,0.016798885,1E-09,1E-09,0.783611501,Iranwolf_SRR12009567.CanFam31.bam,C_WestAsia_Iranwolf_SRR12009567.CanFam31.bam
0.218574647,0.016068616,1E-09,0.036759191,0.728597545,Iranwolf_SRR12009568.merge.CanFam31.bam,C_WestAsia_Iranwolf_SRR12009568.merge.CanFam31.bam
0.178761413,0.029861364,1E-09,1E-09,0.791377221,S21_2743_SaudiArabia.CanFam31.bam,C_WestAsia_S21_2743_SaudiArabia.CanFam31.bam
0.219358749,0.02398468,0.00532997,0.092465777,0.658860825,IranWolf.CanFam31.realigned.bam,C_WestAsia_IranWolf.CanFam31.realigned.bam
0.200553799,0.078696774,1E-09,1E-09,0.720749425,Saudi_wolf_B1.CanFam31.realigned.bam,C_WestAsia_Saudi_wolf_B1.CanFam31.realigned.bam
0.185692853,0.053277098,1E-09,1E-09,0.761030048,Syrian_wolf.CanFam31.realigned.bam,C_WestAsia_Syrian_wolf.CanFam31.realigned.bam
0.199707757,0.039542029,1E-09,1E-09,0.760750211,Lebanonwolf.CanFam31.bam,C_WestAsia_Lebanonwolf.CanFam31.bam
0.251272921,1E-09,1E-09,1E-09,0.748727076,Iran_SAMC036723.CanFam31.bam,C_WestAsia_Iran_SAMC036723.CanFam31.bam
0.184679153,0.016852752,1E-09,0.172690122,0.625777972,Iran_SRR20326411.merge.CanFam31.bam,C_WestAsia_Iran_SRR20326411.merge.CanFam31.bam
0.187049069,0.012561866,0.000000001,0.089691435,0.710697629,Iran_SRR20326410.merge.CanFam31.bam,C_WestAsia_Iran_SRR20326410.merge.CanFam31.bam
0.198019616,0.021468352,0.000000001,0.152457266,0.628054764,Iran_SRR20326408.merge.CanFam31.bam,C_WestAsia_Iran_SRR20326408.merge.CanFam31.bam
0.173109734,0.013782127,0.000000001,0.077881047,0.73522709,norwegian_wolf,C_WestAsia_MW387.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.999999996,PortugueseWolf.CanFam31.realigned.bam,H_Europe_PortugueseWolf.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.999999996,IberianWolf.CanFam31.realigned.bam,H_Europe_IberianWolf.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.999999996,wSierraMorena.CanFam31.realigned.bam,H_Europe_wSierraMorena.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.999999996,ItalianWolf_W050_SAMN02921313.CanFam31.realigned.bam,H_Europe_ItalianWolf_W050_SAMN02921313.CanFam31.realigned.bam
1E-09,1E-09,1E-09,0.088025483,0.911974514,MW005.CanFam31.realigned.bam,H_Europe_MW005.CanFam31.realigned.bam
1E-09,1E-09,1E-09,0.123267835,0.876732162,MW347.CanFam31.realigned.bam,H_Europe_MW347.CanFam31.realigned.bam
1E-09,1E-09,1E-09,0.017254319,0.982745678,MW020.CanFam31.realigned.bam,H_Europe_MW020.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.999999996,MW045.CanFam31.realigned.bam,H_Europe_MW045.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.999999996,MW062.CanFam31.realigned.bam,H_Europe_MW062.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.999999996,MW515.CanFam31.realigned.bam,H_Europe_MW515.CanFam31.realigned.bam
1E-09,1E-09,1E-09,0.014907255,0.985092742,MW707A.CanFam31.realigned.bam,H_Europe_MW707A.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.999999996,MW703A.CanFam31.realigned.bam,H_Europe_MW703A.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.999999996,MW706A.CanFam31.realigned.bam,H_Europe_MW706A.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.999999996,MW1126.CanFam31.realigned.bam,H_Europe_MW1126.CanFam31.realigned.bam
