long,lat,A1,A2,A3,A4,A5,A6,Sample,Names
36.03492307,74.29996755,0.007283352,0.141592254,0.3464161,0.197832993,1E-09,0.3068753,Karakoram_S19_10678.CanFam31.bam,D_Pakistan_Karakoram_S19_10678.CanFam31.bam
35.66796055,75.15682031,1E-09,0.049618181,0.38587977,0.205265414,1E-09,0.359236633,Karakoram_S19_10679.CanFam31.bam,D_Pakistan_Karakoram_S19_10679.CanFam31.bam
29.552489,70.32489,1E-09,1E-09,0.28854133,1E-09,1E-09,0.711458666,DGKhan_S19_10680.CanFam31.bam,D_Pakistan_DGKhan_S19_10680.CanFam31.bam
29.9003415,69.24934099,6.71947E-08,1E-09,0.369347252,0.041146963,1E-09,0.589505716,S21_1037_Kolhu.CanFam31.bam,D_Pakistan_S21_1037_Kolhu.CanFam31.bam
35.89786952,72.69333175,0.003321676,0.031085819,0.394801447,0.200706342,0.000000001,0.370084716,S21_1038_Chitral.CanFam31.bam,D_Pakistan_S21_1038_Chitral.CanFam31.bam
33.41427764,73.37883674,1.54773E-08,1E-09,0.380460258,0.073472167,1E-09,0.546067557,S21_1039_Punjab.CanFam31.bam,D_Pakistan_S21_1039_Punjab.CanFam31.bam
32.34651465,69.6241521,0.009156887,1E-09,0.398387159,0.096033002,1E-09,0.49642295,S21_1041_Waziristan.CanFam31.bam,D_Pakistan_S21_1041_Waziristan.CanFam31.bam
35.89786952,71.69333175,1E-09,0.016619218,0.401652274,0.189736373,1E-09,0.391992133,S21_1042_Chitral.CanFam31.bam,D_Pakistan_S21_1042_Chitral.CanFam31.bam
41.68139642,78.53014387,1E-09,0.014565289,0.292994884,0.583589729,1E-09,0.108850096,Kyrgyz_WLF179.CanFam31.bam,F_CentralAsia_Kyrgyz_WLF179.CanFam31.bam
42.05044547,78.45023603,1E-09,0.007910687,0.303854997,0.579353767,1E-09,0.108880547,Kyrgyz_WLF180.CanFam31.bam,F_CentralAsia_Kyrgyz_WLF180.CanFam31.bam
26.27649942,73.01818138,1E-09,1E-09,1E-09,1E-09,1E-09,0.999999995,BH6_Indian_Wolf.CanFam31.realigned.bam,B_Indian_BH6_Indian_Wolf.CanFam31.realigned.bam
18.19709671,74.59082031,1E-09,1E-09,1E-09,1E-09,1E-09,0.999999995,BH126_Indian_Wolf.CanFam31.realigned.bam,B_Indian_BH126_Indian_Wolf.CanFam31.realigned.bam
22.0438,72.0202,1E-09,1E-09,1E-09,1E-09,1E-09,0.999999995,Indianwolf_SRR13985171.CanFam31.bam,B_Indian_Indianwolf_SRR13985171.CanFam31.bam
17.8263229,75.86523587,1E-09,1E-09,1E-09,1E-09,1E-09,0.999999995,BH124_Indian_Wolf.CanFam31.realigned.bam,B_Indian_BH124_Indian_Wolf.CanFam31.realigned.bam
