A1,A2,A3,A4,A5,A6,A7,Sample,Names
0.206153853,0.138704544,0.385511767,1E-09,0.085978166,0.180838534,0.002813135,Karakoram_S19_10678.CanFam31.bam,D_Pakistan_Karakoram_S19_10678.CanFam31.bam
0.243150319,0.047588563,0.440276798,1E-09,0.081583412,0.187400905,1E-09,Karakoram_S19_10679.CanFam31.bam,D_Pakistan_Karakoram_S19_10679.CanFam31.bam
0.596039558,1E-09,0.403960437,1E-09,1E-09,1E-09,1E-09,DGKhan_S19_10680.CanFam31.bam,D_Pakistan_DGKhan_S19_10680.CanFam31.bam
0.468859006,1E-09,0.447270086,1E-09,0.058535023,0.025335882,1E-09,S21_1037_Kolhu.CanFam31.bam,D_Pakistan_S21_1037_Kolhu.CanFam31.bam
0.254428035,0.02959247,0.438207056,1E-09,0.09273576,0.185036677,1E-09,S21_1038_Chitral.CanFam31.bam,D_Pakistan_S21_1038_Chitral.CanFam31.bam
0.425284431,1E-09,0.450372558,1E-09,0.066506482,0.057836525,1E-09,S21_1039_Punjab.CanFam31.bam,D_Pakistan_S21_1039_Punjab.CanFam31.bam
0.375979704,1E-09,0.452573113,1E-09,0.083731245,0.084188034,0.003527902,S21_1041_Waziristan.CanFam31.bam,D_Pakistan_S21_1041_Waziristan.CanFam31.bam
0.269011342,0.015464963,0.460043843,1E-09,0.084816995,0.170662854,1E-09,S21_1042_Chitral.CanFam31.bam,D_Pakistan_S21_1042_Chitral.CanFam31.bam
0.045664889,0.013423296,0.273775329,1E-09,0.110128724,0.55700776,1E-09,Kyrgyz_WLF179.CanFam31.bam,F_CentralAsia_Kyrgyz_WLF179.CanFam31.bam
0.04468223,0.006352497,0.279662846,1E-09,0.113723487,0.555578939,1E-09,Kyrgyz_WLF180.CanFam31.bam,F_CentralAsia_Kyrgyz_WLF180.CanFam31.bam
0.999999994,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,BH6_Indian_Wolf.CanFam31.realigned.bam,B_Indian_BH6_Indian_Wolf.CanFam31.realigned.bam
0.999999994,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,BH126_Indian_Wolf.CanFam31.realigned.bam,B_Indian_BH126_Indian_Wolf.CanFam31.realigned.bam
0.999999994,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,Indianwolf_SRR13985171.CanFam31.bam,B_Indian_Indianwolf_SRR13985171.CanFam31.bam
0.999999994,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,BH124_Indian_Wolf.CanFam31.realigned.bam,B_Indian_BH124_Indian_Wolf.CanFam31.realigned.bam
0.999999994,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,Indianwolf_BH123.merge.CanFam31.bam,B_Indian_Indianwolf_BH123.merge.CanFam31.bam
1E-09,0.933356117,1E-09,1E-09,1E-09,0.066643878,1E-09,MYL_Tibetan_SAMN12565073.CanFam31.bam,E_Tibetan_MYL_Tibetan_SAMN12565073.CanFam31.bam
0.222317791,0.426332577,0.233264074,1E-09,0.051594744,1E-09,0.066490811,BH1_Tibetan_Wolf.CanFam31.realigned.bam,E_Tibetan_BH1_Tibetan_Wolf.CanFam31.realigned.bam
0.176245787,0.633918716,0.126975353,1E-09,1E-09,1E-09,0.06286014,BH4_Tibetan_Wolf.CanFam31.realigned.bam,E_Tibetan_BH4_Tibetan_Wolf.CanFam31.realigned.bam
1E-09,0.999999994,1E-09,1E-09,1E-09,1E-09,1E-09,Chinese_CAN9A.CanFam31.realigned.bam,E_Tibetan_Chinese_CAN9A.CanFam31.realigned.bam
1E-09,0.783792073,1E-09,1E-09,1E-09,0.216207922,1E-09,Chinese_CAN11.CanFam31.realigned.bam,E_Tibetan_Chinese_CAN11.CanFam31.realigned.bam
1E-09,0.999999994,1E-09,1E-09,1E-09,1E-09,1E-09,Chinese_CAN16.CanFam31.realigned.bam,E_Tibetan_Chinese_CAN16.CanFam31.realigned.bam
1E-09,0.999999994,1E-09,1E-09,1E-09,1E-09,1E-09,Chinese_CAN32.CanFam31.realigned.bam,E_Tibetan_Chinese_CAN32.CanFam31.realigned.bam
1E-09,1E-09,0.999999994,1E-09,1E-09,1E-09,1E-09,Iranwolf_SRR12009566.CanFam31.bam,C_WestAsia_Iranwolf_SRR12009566.CanFam31.bam
1E-09,1E-09,0.999235987,1E-09,1E-09,1E-09,0.000764008,Iranwolf_SRR12009567.CanFam31.bam,C_WestAsia_Iranwolf_SRR12009567.CanFam31.bam
0.002813557,1E-09,0.997186438,1E-09,1E-09,1E-09,1E-09,Iranwolf_SRR12009568.merge.CanFam31.bam,C_WestAsia_Iranwolf_SRR12009568.merge.CanFam31.bam
1E-09,1E-09,0.824687244,1E-09,0.067828743,1E-09,0.107484009,S21_2743_SaudiArabia.CanFam31.bam,C_WestAsia_S21_2743_SaudiArabia.CanFam31.bam
0.020465648,1E-09,0.979534191,1E-09,1.56381E-07,1E-09,1E-09,IranWolf.CanFam31.realigned.bam,C_WestAsia_IranWolf.CanFam31.realigned.bam
1E-09,1E-09,0.909734154,0.028904173,1E-09,1E-09,0.061361669,Saudi_wolf_B1.CanFam31.realigned.bam,C_WestAsia_Saudi_wolf_B1.CanFam31.realigned.bam
1E-09,1E-09,0.920274153,0.008504133,1E-09,1E-09,0.07122171,Syrian_wolf.CanFam31.realigned.bam,C_WestAsia_Syrian_wolf.CanFam31.realigned.bam
0.007698732,1E-09,0.8752746,1E-09,0.073934977,1E-09,0.043091688,Lebanonwolf.CanFam31.bam,C_WestAsia_Lebanonwolf.CanFam31.bam
