A1,A2,A3,A4,A5,A6,A7,A8,Sample,Names
0.281840016,0.233994389,0.126245788,1E-09,0.071572567,0.193416242,0.087819618,0.005111379,Karakoram_S19_10678.CanFam31.bam,D_Pakistan_Karakoram_S19_10678.CanFam31.bam
0.332400999,0.248389615,0.036574993,1E-09,0.066333671,0.230586434,0.085714286,1E-09,Karakoram_S19_10679.CanFam31.bam,D_Pakistan_Karakoram_S19_10679.CanFam31.bam
0.382820961,0.019581664,1E-09,1E-09,1E-09,0.597597371,1E-09,1E-09,DGKhan_S19_10680.CanFam31.bam,D_Pakistan_DGKhan_S19_10680.CanFam31.bam
0.386261563,0.106629658,1E-09,1E-09,1E-09,0.460372913,0.046735863,1E-09,S21_1037_Kolhu.CanFam31.bam,D_Pakistan_S21_1037_Kolhu.CanFam31.bam
0.32746232,0.249983286,0.018481793,1E-09,0.066381224,0.241902285,0.095758404,3.06867E-05,S21_1038_Chitral.CanFam31.bam,D_Pakistan_S21_1038_Chitral.CanFam31.bam
0.399456373,0.110213995,1E-09,1E-09,0.004862215,0.418801826,0.066665588,1E-09,S21_1039_Punjab.CanFam31.bam,D_Pakistan_S21_1039_Punjab.CanFam31.bam
0.400072334,0.119685074,1E-09,1E-09,0.025754445,0.369719678,0.084768397,7.06469E-08,S21_1041_Waziristan.CanFam31.bam,D_Pakistan_S21_1041_Waziristan.CanFam31.bam
0.347394683,0.264295899,1.71563E-08,1E-09,0.043858848,0.256139944,0.088310608,1E-09,S21_1042_Chitral.CanFam31.bam,D_Pakistan_S21_1042_Chitral.CanFam31.bam
0.131501878,0.341145399,1E-09,1E-09,0.385771186,0.025268596,0.116312937,1E-09,Kyrgyz_WLF179.CanFam31.bam,F_CentralAsia_Kyrgyz_WLF179.CanFam31.bam
0.141810709,0.327250052,1E-09,1E-09,0.386453299,0.024368944,0.120116993,1E-09,Kyrgyz_WLF180.CanFam31.bam,F_CentralAsia_Kyrgyz_WLF180.CanFam31.bam
1E-09,1E-09,1E-09,1E-09,1E-09,0.999999993,1E-09,1E-09,BH6_Indian_Wolf.CanFam31.realigned.bam,B_Indian_BH6_Indian_Wolf.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,1E-09,0.999999993,1E-09,1E-09,BH126_Indian_Wolf.CanFam31.realigned.bam,B_Indian_BH126_Indian_Wolf.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,1E-09,0.999999993,1E-09,1E-09,Indianwolf_SRR13985171.CanFam31.bam,B_Indian_Indianwolf_SRR13985171.CanFam31.bam
1E-09,1E-09,1E-09,1E-09,1E-09,0.999999993,1E-09,1E-09,BH124_Indian_Wolf.CanFam31.realigned.bam,B_Indian_BH124_Indian_Wolf.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,1E-09,0.999999993,1E-09,1E-09,Indianwolf_BH123.merge.CanFam31.bam,B_Indian_Indianwolf_BH123.merge.CanFam31.bam
1E-09,1E-09,0.868194378,1E-09,0.131805616,1E-09,1E-09,1E-09,MYL_Tibetan_SAMN12565073.CanFam31.bam,E_Tibetan_MYL_Tibetan_SAMN12565073.CanFam31.bam
0.241637003,1E-09,0.420884297,1E-09,1E-09,0.222908566,0.055543543,0.059026589,BH1_Tibetan_Wolf.CanFam31.realigned.bam,E_Tibetan_BH1_Tibetan_Wolf.CanFam31.realigned.bam
0.144026514,1E-09,0.625623163,1E-09,1E-09,0.175377585,1E-09,0.054972734,BH4_Tibetan_Wolf.CanFam31.realigned.bam,E_Tibetan_BH4_Tibetan_Wolf.CanFam31.realigned.bam
1E-09,1E-09,0.999999993,1E-09,1E-09,1E-09,1E-09,1E-09,Chinese_CAN9A.CanFam31.realigned.bam,E_Tibetan_Chinese_CAN9A.CanFam31.realigned.bam
1E-09,1E-09,0.765692028,1E-09,0.234307966,1E-09,1E-09,1E-09,Chinese_CAN11.CanFam31.realigned.bam,E_Tibetan_Chinese_CAN11.CanFam31.realigned.bam
1E-09,1E-09,0.999999993,1E-09,1E-09,1E-09,1E-09,1E-09,Chinese_CAN16.CanFam31.realigned.bam,E_Tibetan_Chinese_CAN16.CanFam31.realigned.bam
1E-09,1E-09,0.999999993,1E-09,1E-09,1E-09,1E-09,1E-09,Chinese_CAN32.CanFam31.realigned.bam,E_Tibetan_Chinese_CAN32.CanFam31.realigned.bam
0.999999993,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,Iranwolf_SRR12009566.CanFam31.bam,C_WestAsia_Iranwolf_SRR12009566.CanFam31.bam
0.999999993,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,Iranwolf_SRR12009567.CanFam31.bam,C_WestAsia_Iranwolf_SRR12009567.CanFam31.bam
0.998649148,1E-09,1E-09,1E-09,1E-09,0.001350846,1E-09,1E-09,Iranwolf_SRR12009568.merge.CanFam31.bam,C_WestAsia_Iranwolf_SRR12009568.merge.CanFam31.bam
0.879273963,1E-09,1E-09,1E-09,1E-09,1E-09,0.031169742,0.08955629,S21_2743_SaudiArabia.CanFam31.bam,C_WestAsia_S21_2743_SaudiArabia.CanFam31.bam
0.977643531,1E-09,1E-09,1E-09,1E-09,0.022356463,1E-09,1E-09,IranWolf.CanFam31.realigned.bam,C_WestAsia_IranWolf.CanFam31.realigned.bam
0.975488554,1E-09,1E-09,0.000724979,1E-09,1E-09,1E-09,0.023786462,Saudi_wolf_B1.CanFam31.realigned.bam,C_WestAsia_Saudi_wolf_B1.CanFam31.realigned.bam
0.967684008,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,0.032315986,Syrian_wolf.CanFam31.realigned.bam,C_WestAsia_Syrian_wolf.CanFam31.realigned.bam
0.963167217,1E-09,1E-09,1E-09,1E-09,1E-09,0.023793907,0.013038872,Lebanonwolf.CanFam31.bam,C_WestAsia_Lebanonwolf.CanFam31.bam
0.999999993,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,Iran_SAMC036723.CanFam31.bam,C_WestAsia_Iran_SAMC036723.CanFam31.bam
0.796111026,0.156981062,1E-09,1E-09,1E-09,1E-09,0.046907907,1E-09,Iran_SRR20326411.merge.CanFam31.bam,C_WestAsia_Iran_SRR20326411.merge.CanFam31.bam
0.999999993,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,Iran_SRR20326410.merge.CanFam31.bam,C_WestAsia_Iran_SRR20326410.merge.CanFam31.bam
0.860156407,0.139843587,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,Iran_SRR20326408.merge.CanFam31.bam,C_WestAsia_Iran_SRR20326408.merge.CanFam31.bam
0.71528156,0.007088158,1E-09,1E-09,0.01903707,0.024409277,0.234183932,1E-09,norwegian_wolf,C_WestAsia_MW387.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,0.999999993,1E-09,PortugueseWolf.CanFam31.realigned.bam,H_Europe_PortugueseWolf.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,0.85779005,0.142209944,IberianWolf.CanFam31.realigned.bam,H_Europe_IberianWolf.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,0.63700596,0.362994034,wSierraMorena.CanFam31.realigned.bam,H_Europe_wSierraMorena.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,0.999999993,1E-09,ItalianWolf_W050_SAMN02921313.CanFam31.realigned.bam,H_Europe_ItalianWolf_W050_SAMN02921313.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.002982249,1E-09,0.997017745,1E-09,MW005.CanFam31.realigned.bam,H_Europe_MW005.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.037574577,1E-09,0.962425417,1E-09,MW347.CanFam31.realigned.bam,H_Europe_MW347.CanFam31.realigned.bam
