A1,A2,A3,A4,A5,A6,A7,A8,A9,Sample,Names
1E-09,0.126276835,0.042432166,0.231253045,0.056844275,0.069135578,0.277203919,0.003722201,0.19313198,Karakoram_S19_10678.CanFam31.bam,D_Pakistan_Karakoram_S19_10678.CanFam31.bam
1E-09,0.037136632,0.036945,0.245927387,0.054993019,0.067029191,0.32766617,1E-09,0.2303026,Karakoram_S19_10679.CanFam31.bam,D_Pakistan_Karakoram_S19_10679.CanFam31.bam
1E-09,1E-09,1E-09,0.021555,0.000417462,1E-09,0.380329293,1E-09,0.59769824,DGKhan_S19_10680.CanFam31.bam,D_Pakistan_DGKhan_S19_10680.CanFam31.bam
1E-09,1E-09,1E-09,0.100364139,0.036177652,0.023404792,0.380128722,1E-09,0.459924691,S21_1037_Kolhu.CanFam31.bam,D_Pakistan_S21_1037_Kolhu.CanFam31.bam
1E-09,0.019131759,0.031012637,0.24681177,0.068297356,0.071970735,0.321323738,1E-09,0.241452003,S21_1038_Chitral.CanFam31.bam,D_Pakistan_S21_1038_Chitral.CanFam31.bam
1E-09,1E-09,1E-09,0.104236383,0.040241607,0.044526772,0.392733338,1E-09,0.418261896,S21_1039_Punjab.CanFam31.bam,D_Pakistan_S21_1039_Punjab.CanFam31.bam
1E-09,1E-09,1E-09,0.117571492,0.054198008,0.063952032,0.394802312,1E-09,0.369476151,S21_1041_Waziristan.CanFam31.bam,D_Pakistan_S21_1041_Waziristan.CanFam31.bam
1E-09,0.000255179,0.011939541,0.263043618,0.056492754,0.069614871,0.342794987,1E-09,0.255859048,S21_1042_Chitral.CanFam31.bam,D_Pakistan_S21_1042_Chitral.CanFam31.bam
1E-09,1E-09,0.34371649,0.334198474,0.057396103,0.107999623,0.131570983,1E-09,0.025118324,Kyrgyz_WLF179.CanFam31.bam,F_CentralAsia_Kyrgyz_WLF179.CanFam31.bam
1E-09,1E-09,0.337037375,0.319981212,0.069863767,0.10830989,0.14063254,1E-09,0.024175212,Kyrgyz_WLF180.CanFam31.bam,F_CentralAsia_Kyrgyz_WLF180.CanFam31.bam
1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,0.999999992,BH6_Indian_Wolf.CanFam31.realigned.bam,B_Indian_BH6_Indian_Wolf.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,0.999999992,BH126_Indian_Wolf.CanFam31.realigned.bam,B_Indian_BH126_Indian_Wolf.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,0.999999992,Indianwolf_SRR13985171.CanFam31.bam,B_Indian_Indianwolf_SRR13985171.CanFam31.bam
1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,0.999999992,BH124_Indian_Wolf.CanFam31.realigned.bam,B_Indian_BH124_Indian_Wolf.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,0.999999992,Indianwolf_BH123.merge.CanFam31.bam,B_Indian_Indianwolf_BH123.merge.CanFam31.bam
1E-09,0.851008994,0.148990999,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,MYL_Tibetan_SAMN12565073.CanFam31.bam,E_Tibetan_MYL_Tibetan_SAMN12565073.CanFam31.bam
1E-09,0.41651252,1E-09,1E-09,0.042287548,0.028612346,0.234276945,0.056021546,0.222289091,BH1_Tibetan_Wolf.CanFam31.realigned.bam,E_Tibetan_BH1_Tibetan_Wolf.CanFam31.realigned.bam
1E-09,0.625173019,1E-09,1E-09,1E-09,1E-09,0.14207914,0.056561003,0.176186833,BH4_Tibetan_Wolf.CanFam31.realigned.bam,E_Tibetan_BH4_Tibetan_Wolf.CanFam31.realigned.bam
1E-09,0.999999992,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,Chinese_CAN9A.CanFam31.realigned.bam,E_Tibetan_Chinese_CAN9A.CanFam31.realigned.bam
1E-09,0.754395985,0.245604008,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,Chinese_CAN11.CanFam31.realigned.bam,E_Tibetan_Chinese_CAN11.CanFam31.realigned.bam
1E-09,0.999999992,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,Chinese_CAN16.CanFam31.realigned.bam,E_Tibetan_Chinese_CAN16.CanFam31.realigned.bam
1E-09,0.999999992,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,Chinese_CAN32.CanFam31.realigned.bam,E_Tibetan_Chinese_CAN32.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,0.999999992,1E-09,1E-09,Iranwolf_SRR12009566.CanFam31.bam,C_WestAsia_Iranwolf_SRR12009566.CanFam31.bam
1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,0.999999992,1E-09,1E-09,Iranwolf_SRR12009567.CanFam31.bam,C_WestAsia_Iranwolf_SRR12009567.CanFam31.bam
1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,0.998375682,1E-09,0.001624311,Iranwolf_SRR12009568.merge.CanFam31.bam,C_WestAsia_Iranwolf_SRR12009568.merge.CanFam31.bam
1E-09,1E-09,1E-09,1E-09,1E-09,0.026427494,0.882724098,0.090848402,1E-09,S21_2743_SaudiArabia.CanFam31.bam,C_WestAsia_S21_2743_SaudiArabia.CanFam31.bam
1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,0.977416172,1E-09,0.022583821,IranWolf.CanFam31.realigned.bam,C_WestAsia_IranWolf.CanFam31.realigned.bam
0.002081569,1E-09,1E-09,1E-09,1E-09,1E-09,0.972885765,0.025032659,1E-09,Saudi_wolf_B1.CanFam31.realigned.bam,C_WestAsia_Saudi_wolf_B1.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,0.966739157,0.033260836,1E-09,Syrian_wolf.CanFam31.realigned.bam,C_WestAsia_Syrian_wolf.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,1E-09,0.018600165,0.966773397,0.014626432,1E-09,Lebanonwolf.CanFam31.bam,C_WestAsia_Lebanonwolf.CanFam31.bam
1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,0.999999992,1E-09,1E-09,Iran_SAMC036723.CanFam31.bam,C_WestAsia_Iran_SAMC036723.CanFam31.bam
1E-09,1E-09,1E-09,0.155726216,1E-09,0.048671421,0.795602357,1E-09,1E-09,Iran_SRR20326411.merge.CanFam31.bam,C_WestAsia_Iran_SRR20326411.merge.CanFam31.bam
1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,0.999999992,1E-09,1E-09,Iran_SRR20326410.merge.CanFam31.bam,C_WestAsia_Iran_SRR20326410.merge.CanFam31.bam
