A1,A2,Population
0.31841267,0.68158733,D_Pakistan_Karakoram_S19_10678.CanFam31.bam
0.381034583,0.618965417,D_Pakistan_Karakoram_S19_10679.CanFam31.bam
0.743732704,0.256267296,D_Pakistan_DGKhan_S19_10680.CanFam31.bam
0.616599568,0.383400432,D_Pakistan_S21_1037_Kolhu.CanFam31.bam
0.394197209,0.605802791,D_Pakistan_S21_1038_Chitral.CanFam31.bam
0.575070301,0.424929699,D_Pakistan_S21_1039_Punjab.CanFam31.bam
0.526585313,0.473414687,D_Pakistan_S21_1041_Waziristan.CanFam31.bam
0.417186214,0.582813786,D_Pakistan_S21_1042_Chitral.CanFam31.bam
0.118104282,0.881895718,F_CentralAsiaKyrgyz_WLF179.CanFam31.bam
0.119312762,0.880687238,F_CentralAsiaKyrgyz_WLF180.CanFam31.bam
0.999999999,0.000000001,B_IndianBH6_Indian_Wolf.CanFam31.realigned.bam
0.999999999,0.000000001,B_IndianBH126_Indian_Wolf.CanFam31.realigned.bam
0.999999999,0.000000001,B_IndianIndianwolf_SRR13985171.CanFam31.bam
0.999999999,0.000000001,B_IndianBH124_Indian_Wolf.CanFam31.realigned.bam
0.999999999,0.000000001,B_IndianIndianwolf_BH123.merge.CanFam31.bam
0.000000001,0.999999999,E_TibetanMYL_Tibetan_SAMN12565073.CanFam31.bam
0.279962747,0.720037253,E_TibetanBH1_Tibetan_Wolf.CanFam31.realigned.bam
0.201610372,0.798389628,E_TibetanBH4_Tibetan_Wolf.CanFam31.realigned.bam
0.000000001,0.999999999,E_TibetanChinese_CAN9A.CanFam31.realigned.bam
0.000000001,0.999999999,E_TibetanChinese_CAN11.CanFam31.realigned.bam
0.000000001,0.999999999,E_TibetanChinese_CAN16.CanFam31.realigned.bam
0.000000001,0.999999999,E_TibetanChinese_CAN32.CanFam31.realigned.bam
0.334136233,0.665863767,C_WestAsiaIranwolf_SRR12009566.CanFam31.bam
0.269137905,0.730862095,C_WestAsiaIranwolf_SRR12009567.CanFam31.bam
0.274792098,0.725207902,C_WestAsiaIranwolf_SRR12009568.merge.CanFam31.bam
0.248130789,0.751869211,C_WestAsiaS21_2743_SaudiArabia.CanFam31.bam
0.271937686,0.728062314,C_WestAsiaIranWolf.CanFam31.realigned.bam
0.284278001,0.715721999,C_WestAsiaSaudi_wolf_B1.CanFam31.realigned.bam
