A1,A2,A3,Population
0.502513195,0.311489738,0.185997067,D_Pakistan_Karakoram_S19_10678.CanFam31.bam
0.551428306,0.363501758,0.085069936,D_Pakistan_Karakoram_S19_10679.CanFam31.bam
0.285677045,0.714322954,1E-09,D_Pakistan_DGKhan_S19_10680.CanFam31.bam
0.406670351,0.593329648,1E-09,D_Pakistan_S21_1037_Kolhu.CanFam31.bam
0.562655311,0.373926982,0.063417708,D_Pakistan_S21_1038_Chitral.CanFam31.bam
0.447876053,0.552123946,0.000000001,D_Pakistan_S21_1039_Punjab.CanFam31.bam
0.494000004,0.504924464,0.001075532,D_Pakistan_S21_1041_Waziristan.CanFam31.bam
0.559623047,0.395978643,0.04439831,D_Pakistan_S21_1042_Chitral.CanFam31.bam
0.77492667,0.105295965,0.119777365,F_CentralAsiaKyrgyz_WLF179.CanFam31.bam
0.783276773,0.105810211,0.110913017,F_CentralAsiaKyrgyz_WLF180.CanFam31.bam
1E-09,0.999999998,1E-09,B_IndianBH6_Indian_Wolf.CanFam31.realigned.bam
1E-09,0.999999998,1E-09,B_IndianBH126_Indian_Wolf.CanFam31.realigned.bam
1E-09,0.999999998,1E-09,B_IndianIndianwolf_SRR13985171.CanFam31.bam
1E-09,0.999999998,1E-09,B_IndianBH124_Indian_Wolf.CanFam31.realigned.bam
1E-09,0.999999998,1E-09,B_IndianIndianwolf_BH123.merge.CanFam31.bam
1E-09,1E-09,0.999999998,E_TibetanMYL_Tibetan_SAMN12565073.CanFam31.bam
0.23890312,0.30093957,0.46015731,E_TibetanBH1_Tibetan_Wolf.CanFam31.realigned.bam
0.071862204,0.241312376,0.686825419,E_TibetanBH4_Tibetan_Wolf.CanFam31.realigned.bam
1E-09,1E-09,0.999999998,E_TibetanChinese_CAN9A.CanFam31.realigned.bam
1E-09,1E-09,0.999999998,E_TibetanChinese_CAN11.CanFam31.realigned.bam
1E-09,1E-09,0.999999998,E_TibetanChinese_CAN16.CanFam31.realigned.bam
1E-09,1E-09,0.999999998,E_TibetanChinese_CAN32.CanFam31.realigned.bam
0.726824288,0.273175711,1E-09,C_WestAsiaIranwolf_SRR12009566.CanFam31.bam
0.775582838,0.224417161,1E-09,C_WestAsiaIranwolf_SRR12009567.CanFam31.bam
0.76669184,0.233308159,1E-09,C_WestAsiaIranwolf_SRR12009568.merge.CanFam31.bam
0.79242079,0.207579209,1E-09,C_WestAsiaS21_2743_SaudiArabia.CanFam31.bam
0.756340472,0.235216764,0.008442764,C_WestAsiaIranWolf.CanFam31.realigned.bam
0.759188951,0.240811048,1E-09,C_WestAsiaSaudi_wolf_B1.CanFam31.realigned.bam
0.777724471,0.222275528,1E-09,C_WestAsiaSyrian_wolf.CanFam31.realigned.bam
0.779209948,0.220790051,1E-09,C_WestAsiaLebanonwolf.CanFam31.bam
0.725914564,0.274085435,1E-09,C_WestAsiaIran_SAMC036723.CanFam31.bam
0.796505256,0.197107606,0.006387138,C_WestAsiaIran_SRR20326411.merge.CanFam31.bam
0.790781854,0.209218145,0.000000001,C_WestAsiaIran_SRR20326410.merge.CanFam31.bam
