A1,A2,A3,A4,Population
0.357191326,0.13877252,0.300977591,0.203058562,D_Pakistan_Karakoram_S19_10678.CanFam31.bam
0.39320964,0.045590269,0.352018123,0.209181968,D_Pakistan_Karakoram_S19_10679.CanFam31.bam
0.294817261,1E-09,0.705182737,1E-09,D_Pakistan_DGKhan_S19_10680.CanFam31.bam
0.38232931,1E-09,0.582812954,0.034857734,D_Pakistan_S21_1037_Kolhu.CanFam31.bam
0.405784663,0.028385324,0.362972686,0.202857326,D_Pakistan_S21_1038_Chitral.CanFam31.bam
0.393937784,1E-09,0.538589067,0.067473148,D_Pakistan_S21_1039_Punjab.CanFam31.bam
0.417050159,0.000000001,0.490076908,0.092872932,D_Pakistan_S21_1041_Waziristan.CanFam31.bam
0.41053048,0.012569729,0.384862882,0.19203691,D_Pakistan_S21_1042_Chitral.CanFam31.bam
0.292846229,0.00734536,0.10368736,0.596121052,F_CentralAsiaKyrgyz_WLF179.CanFam31.bam
0.304460342,0.000403276,0.104068822,0.591067559,F_CentralAsiaKyrgyz_WLF180.CanFam31.bam
1E-09,1E-09,0.999999997,1E-09,B_IndianBH6_Indian_Wolf.CanFam31.realigned.bam
1E-09,1E-09,0.999999997,1E-09,B_IndianBH126_Indian_Wolf.CanFam31.realigned.bam
1E-09,1E-09,0.999999997,1E-09,B_IndianIndianwolf_SRR13985171.CanFam31.bam
1E-09,1E-09,0.999999997,1E-09,B_IndianBH124_Indian_Wolf.CanFam31.realigned.bam
1E-09,1E-09,0.999999997,1E-09,B_IndianIndianwolf_BH123.merge.CanFam31.bam
1E-09,0.999884742,1E-09,0.000115256,E_TibetanMYL_Tibetan_SAMN12565073.CanFam31.bam
0.27467894,0.439960696,0.285360363,0.000000001,E_TibetanBH1_Tibetan_Wolf.CanFam31.realigned.bam
0.125309239,0.654817446,0.219873315,1E-09,E_TibetanBH4_Tibetan_Wolf.CanFam31.realigned.bam
1E-09,0.999999997,1E-09,1E-09,E_TibetanChinese_CAN9A.CanFam31.realigned.bam
1E-09,0.796301882,1E-09,0.203698116,E_TibetanChinese_CAN11.CanFam31.realigned.bam
1E-09,0.999999997,1E-09,1E-09,E_TibetanChinese_CAN16.CanFam31.realigned.bam
1E-09,0.999999997,1E-09,1E-09,E_TibetanChinese_CAN32.CanFam31.realigned.bam
0.781812873,1E-09,0.218187125,1E-09,C_WestAsiaIranwolf_SRR12009566.CanFam31.bam
0.813530733,1E-09,0.186469265,1E-09,C_WestAsiaIranwolf_SRR12009567.CanFam31.bam
0.794245428,0.000000001,0.20575093,3.64053E-06,C_WestAsiaIranwolf_SRR12009568.merge.CanFam31.bam
0.821790128,1E-09,0.17820987,1E-09,C_WestAsiaS21_2743_SaudiArabia.CanFam31.bam
0.730499997,0.010023151,0.203979657,0.055497195,C_WestAsiaIranWolf.CanFam31.realigned.bam
