A1,A2,A3,A4,A5,Population
0.39110807,0.189647229,0.203029375,0.080994164,0.135221162,D_Pakistan_Karakoram_S19_10678.CanFam31.bam
0.444858095,0.196334825,0.23985363,0.075106734,0.043846716,D_Pakistan_Karakoram_S19_10679.CanFam31.bam
0.40892542,1E-09,0.591074577,1E-09,1E-09,D_Pakistan_DGKhan_S19_10680.CanFam31.bam
0.459730036,0.025302935,0.464958145,0.050008883,1E-09,D_Pakistan_S21_1037_Kolhu.CanFam31.bam
0.444102887,0.191189732,0.250857167,0.086821222,0.027028992,D_Pakistan_S21_1038_Chitral.CanFam31.bam
0.460639138,0.058463643,0.421065524,0.059831694,1E-09,D_Pakistan_S21_1039_Punjab.CanFam31.bam
0.462283896,0.085919126,0.372307403,0.079489574,0.000000001,D_Pakistan_S21_1041_Waziristan.CanFam31.bam
0.465373448,0.178310002,0.265588145,0.078795678,0.011932727,D_Pakistan_S21_1042_Chitral.CanFam31.bam
0.267070303,0.571561718,0.045246755,0.110143484,0.00597774,F_CentralAsiaKyrgyz_WLF179.CanFam31.bam
0.274982293,0.567938744,0.043970172,0.113108766,2.556E-08,F_CentralAsiaKyrgyz_WLF180.CanFam31.bam
1E-09,1E-09,0.999999996,1E-09,1E-09,B_IndianBH6_Indian_Wolf.CanFam31.realigned.bam
1E-09,1E-09,0.999999996,1E-09,1E-09,B_IndianBH126_Indian_Wolf.CanFam31.realigned.bam
1E-09,1E-09,0.999999996,1E-09,1E-09,B_IndianIndianwolf_SRR13985171.CanFam31.bam
1E-09,1E-09,0.999999996,1E-09,1E-09,B_IndianBH124_Indian_Wolf.CanFam31.realigned.bam
1E-09,1E-09,0.999999996,1E-09,1E-09,B_IndianIndianwolf_BH123.merge.CanFam31.bam
1E-09,0.09128819,1E-09,1E-09,0.908711807,E_TibetanMYL_Tibetan_SAMN12565073.CanFam31.bam
0.276254283,0.000000001,0.220135689,0.070525651,0.433084376,E_TibetanBH1_Tibetan_Wolf.CanFam31.realigned.bam
0.184064422,1E-09,0.173318489,1E-09,0.642617087,E_TibetanBH4_Tibetan_Wolf.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.999999996,E_TibetanChinese_CAN9A.CanFam31.realigned.bam
1E-09,0.222619661,1E-09,1E-09,0.777380336,E_TibetanChinese_CAN11.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.999999996,E_TibetanChinese_CAN16.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.999999996,E_TibetanChinese_CAN32.CanFam31.realigned.bam
0.999999996,1E-09,1E-09,1E-09,1E-09,C_WestAsiaIranwolf_SRR12009566.CanFam31.bam
0.999999996,1E-09,1E-09,1E-09,1E-09,C_WestAsiaIranwolf_SRR12009567.CanFam31.bam
0.999701319,1E-09,0.000298678,1E-09,1E-09,C_WestAsiaIranwolf_SRR12009568.merge.CanFam31.bam
0.88024336,1E-09,1E-09,0.119756637,1E-09,C_WestAsiaS21_2743_SaudiArabia.CanFam31.bam
0.979906457,1E-09,0.02009354,1E-09,1E-09,C_WestAsiaIranWolf.CanFam31.realigned.bam
0.999999996,1E-09,1E-09,1E-09,1E-09,C_WestAsiaSaudi_wolf_B1.CanFam31.realigned.bam
0.999999996,1E-09,1E-09,1E-09,1E-09,C_WestAsiaSyrian_wolf.CanFam31.realigned.bam
0.917263984,1E-09,0.001897701,0.080838313,1E-09,C_WestAsiaLebanonwolf.CanFam31.bam
0.999999996,1E-09,1E-09,1E-09,1E-09,C_WestAsiaIran_SAMC036723.CanFam31.bam
0.930038265,0.020982779,1E-09,0.048978954,1E-09,C_WestAsiaIran_SRR20326411.merge.CanFam31.bam
