A1,A2,A3,A4,A5,A6,Population
0.125474586,0.070405885,0.290342284,0.188427998,0.241525914,0.083823332,D_Pakistan_Karakoram_S19_10678.CanFam31.bam
0.03511611,0.064553222,0.338630403,0.225110851,0.257379392,0.079210022,D_Pakistan_Karakoram_S19_10679.CanFam31.bam
1E-09,1E-09,0.381352482,0.591056074,0.027591441,1E-09,D_Pakistan_DGKhan_S19_10680.CanFam31.bam
1E-09,1E-09,0.394402111,0.454842687,0.115510484,0.035244716,D_Pakistan_S21_1037_Kolhu.CanFam31.bam
0.0183188,0.062021344,0.334790888,0.23629469,0.258301884,0.090272393,D_Pakistan_S21_1038_Chitral.CanFam31.bam
1E-09,0.000302975,0.407650526,0.413199254,0.11934772,0.059499523,D_Pakistan_S21_1039_Punjab.CanFam31.bam
1E-09,0.018985015,0.407726286,0.364606267,0.128368488,0.080313943,D_Pakistan_S21_1041_Waziristan.CanFam31.bam
0.000000001,0.038631481,0.354474154,0.250374359,0.273780808,0.082739197,D_Pakistan_S21_1042_Chitral.CanFam31.bam
0.000000001,0.38527062,0.137245943,0.023938938,0.332469296,0.121075202,F_CentralAsiaKyrgyz_WLF179.CanFam31.bam
1E-09,0.383932348,0.148388611,0.02301947,0.319959959,0.124699611,F_CentralAsiaKyrgyz_WLF180.CanFam31.bam
1E-09,1E-09,1E-09,0.999999995,1E-09,1E-09,B_IndianBH6_Indian_Wolf.CanFam31.realigned.bam
1E-09,1E-09,1E-09,0.999999995,1E-09,1E-09,B_IndianBH126_Indian_Wolf.CanFam31.realigned.bam
1E-09,1E-09,1E-09,0.999999995,1E-09,1E-09,B_IndianIndianwolf_SRR13985171.CanFam31.bam
1E-09,1E-09,1E-09,0.999999995,1E-09,1E-09,B_IndianBH124_Indian_Wolf.CanFam31.realigned.bam
1E-09,1E-09,1E-09,0.999999995,1E-09,1E-09,B_IndianIndianwolf_BH123.merge.CanFam31.bam
0.855383411,0.144616585,1E-09,1E-09,1E-09,1E-09,E_TibetanMYL_Tibetan_SAMN12565073.CanFam31.bam
0.427716587,0.000000001,0.278557408,0.220818437,0.000000001,0.072907566,E_TibetanBH1_Tibetan_Wolf.CanFam31.realigned.bam
0.634873641,1E-09,0.191774223,0.173352133,1E-09,1E-09,E_TibetanBH4_Tibetan_Wolf.CanFam31.realigned.bam
0.999999995,1E-09,1E-09,1E-09,1E-09,1E-09,E_TibetanChinese_CAN9A.CanFam31.realigned.bam
0.758249602,0.241750394,1E-09,1E-09,1E-09,1E-09,E_TibetanChinese_CAN11.CanFam31.realigned.bam
0.999999995,1E-09,1E-09,1E-09,1E-09,1E-09,E_TibetanChinese_CAN16.CanFam31.realigned.bam
0.999999995,1E-09,1E-09,1E-09,1E-09,1E-09,E_TibetanChinese_CAN32.CanFam31.realigned.bam
1E-09,1E-09,0.999999995,1E-09,1E-09,1E-09,C_WestAsiaIranwolf_SRR12009566.CanFam31.bam
1E-09,1E-09,0.999999995,1E-09,1E-09,1E-09,C_WestAsiaIranwolf_SRR12009567.CanFam31.bam
1E-09,1E-09,0.999929342,7.06536E-05,1E-09,1E-09,C_WestAsiaIranwolf_SRR12009568.merge.CanFam31.bam
1E-09,1E-09,0.925529123,1E-09,1E-09,0.074470873,C_WestAsiaS21_2743_SaudiArabia.CanFam31.bam
1E-09,1E-09,0.977617209,0.022382787,1E-09,1E-09,C_WestAsiaIranWolf.CanFam31.realigned.bam
1E-09,1E-09,0.999999995,1E-09,1E-09,1E-09,C_WestAsiaSaudi_wolf_B1.CanFam31.realigned.bam
1E-09,1E-09,0.999999995,1E-09,1E-09,1E-09,C_WestAsiaSyrian_wolf.CanFam31.realigned.bam
1E-09,1E-09,0.982677167,1E-09,1E-09,0.017322829,C_WestAsiaLebanonwolf.CanFam31.bam
1E-09,1E-09,0.999999995,1E-09,1E-09,1E-09,C_WestAsiaIran_SAMC036723.CanFam31.bam
1E-09,1E-09,0.808185978,1E-09,0.145332057,0.046481962,C_WestAsiaIran_SRR20326411.merge.CanFam31.bam
