sample,region,color,country
Karakoram_S19_10678.CanFam31.bam,Pakistan,yellow,Pakistan
Karakoram_S19_10679.CanFam31.bam,Pakistan,yellow,Pakistan
DGKhan_S19_10680.CanFam31.bam,Pakistan,yellow,Pakistan
S21_1037_Kolhu.CanFam31.bam,Pakistan,yellow,Pakistan
S21_1038_Chitral.CanFam31.bam,Pakistan,yellow,Pakistan
S21_1039_Punjab.CanFam31.bam,Pakistan,yellow,Pakistan
S21_1041_Waziristan.CanFam31.bam,Pakistan,yellow,Pakistan
S21_1042_Chitral.CanFam31.bam,Pakistan,yellow,Pakistan
Kyrgyz_WLF179.CanFam31.bam,CentralAsia,yellowgreen,Kyrgyzstan
Kyrgyz_WLF180.CanFam31.bam,CentralAsia,yellowgreen,Kyrgyzstan
BH6_Indian_Wolf.CanFam31.realigned.bam,Indian,maroon4,india
BH126_Indian_Wolf.CanFam31.realigned.bam,Indian,maroon4,india
Indianwolf_SRR13985171.CanFam31.bam,Indian,maroon4,india
BH124_Indian_Wolf.CanFam31.realigned.bam,Indian,maroon4,india
Indianwolf_BH123.merge.CanFam31.bam,Indian,maroon4,india
MYL_Tibetan_SAMN12565073.CanFam31.bam,Tibetan,orange2,Tibetan_China
BH1_Tibetan_Wolf.CanFam31.realigned.bam,Tibetan,orange2,Tibetan_Ladakh
BH4_Tibetan_Wolf.CanFam31.realigned.bam,Tibetan,orange2,Tibetan_Ladakh
Chinese_CAN9A.CanFam31.realigned.bam,Tibetan,orange2,Tibetan_China
Chinese_CAN11.CanFam31.realigned.bam,Tibetan,orange2,Tibetan_China
Chinese_CAN16.CanFam31.realigned.bam,Tibetan,orange2,Tibetan_China
Chinese_CAN32.CanFam31.realigned.bam,Tibetan,orange2,Tibetan_China
Iranwolf_SRR12009566.CanFam31.bam,WestAsia,lightseagreen,Iran
Iranwolf_SRR12009567.CanFam31.bam,WestAsia,lightseagreen,Iran
Iranwolf_SRR12009568.merge.CanFam31.bam,WestAsia,lightseagreen,Iran
S21_2743_SaudiArabia.CanFam31.bam,WestAsia,lightseagreen,Israel
IranWolf.CanFam31.realigned.bam,WestAsia,lightseagreen,Iran
Saudi_wolf_B1.CanFam31.realigned.bam,WestAsia,lightseagreen,SaudiArabia
Syrian_wolf.CanFam31.realigned.bam,WestAsia,lightseagreen,Syria
Lebanonwolf.CanFam31.bam,WestAsia,lightseagreen,Lebanon
Iran_SAMC036723.CanFam31.bam,WestAsia,lightseagreen,Iran
Iran_SAMC036722.CanFam31.bam,WestAsia,lightseagreen,Iran
Iran_SRR20326411.merge.CanFam31.bam,WestAsia,lightseagreen,Iran
Iran_SRR20326410.merge.CanFam31.bam,WestAsia,lightseagreen,Iran
Iran_SRR20326408.merge.CanFam31.bam,WestAsia,lightseagreen,Iran
MW387.CanFam31.realigned.bam,WestAsia,lightseagreen,Turkey
PortugueseWolf.CanFam31.realigned.bam,Europe,green2,Portugal
IberianWolf.CanFam31.realigned.bam,Europe,green2,Croatia
wSierraMorena.CanFam31.realigned.bam,Europe,green2,Spain
ItalianWolf_W050_SAMN02921313.CanFam31.realigned.bam,Europe,green2,Italy
MW005.CanFam31.realigned.bam,Europe,green2,Norway
MW347.CanFam31.realigned.bam,Europe,green2,Finland
MW020.CanFam31.realigned.bam,Europe,green2,Lithuania
MW045.CanFam31.realigned.bam,Europe,green2,Czech
MW062.CanFam31.realigned.bam,Europe,green2,Romania
MW515.CanFam31.realigned.bam,Europe,green2,Austria
MW707A.CanFam31.realigned.bam,Europe,green2,Ukraine
MW703A.CanFam31.realigned.bam,Europe,green2,Bosnia
MW706A.CanFam31.realigned.bam,Europe,green2,Bulgaria
MW1126.CanFam31.realigned.bam,Europe,green2,Croatia
MW1135.CanFam31.realigned.bam,Europe,green2,Greece
MW339.CanFam31.realigned.bam,Europe,green2,Slovakia
MW055.CanFam31.realigned.bam,Europe,green2,Gemany
Wang_GW3.CanFam31.realigned.bam,Europe,green2,Bryansk
Chinese_CAN24.CanFam31.realigned.bam,CentralAsia,yellowgreen,China_Xinjiang
Chinese_CAN30.CanFam31.realigned.bam,CentralAsia,yellowgreen,China_Xinjiang
Wang_GW1.CanFam31.realigned.bam,CentralAsia,yellowgreen,Russia_Atlai
Kyrgyzstan_SRR20326406.merge.CanFam31.bam,CentralAsia,yellowgreen,Kyrgyzstan
Kazakhstan_SRR20326405.CanFam31.bam,CentralAsia,yellowgreen,Kazakhstan
AW012.CanFam31.realigned.bam,CentralAsia,yellow,Afghanistan
Russia_SRR20326404.merge.CanFam31.bam,CentralAsia,yellowgreen,Russia
Russia_SRR20326403.merge.CanFam31.bam,CentralAsia,yellowgreen,Russia
Russia_SRR20326401.CanFam31.bam,CentralAsia,yellowgreen,Russia
Russia_SRR20326400.merge.CanFam31.bam,CentralAsia,yellowgreen,Russia
Russia_SRR20326388.merge.CanFam31.bam,CentralAsia,yellowgreen,Russia
Tajikistan_SRR20326385.merge.CanFam31.bam,CentralAsia,yellowgreen,Tajikistan
Tajikistan_SRR20326384.CanFam31.bam,CentralAsia,yellowgreen,Tajikistan
Tajikisan_SRR20326383.merge.CanFam31.bam,CentralAsia,yellowgreen,Tajikistan
Tajikistan_SRR20326382.merge.CanFam31.bam,CentralAsia,yellowgreen,Tajikistan
Tajikistan_SRR20326381.CanFam31.bam,CentralAsia,yellowgreen,Tajikistan
Tajikistan_SRR20326251.merge.CanFam31.bam,CentralAsia,yellowgreen,Tajikistan
Tajikistan_SRR20326250.merge.CanFam31.bam,CentralAsia,yellowgreen,Tajikistan
750114-25D.CanFam31.realigned.bam,CentralAsia,yellowgreen,Kazakhstan
750119-30D.CanFam31.realigned.bam,CentralAsia,yellowgreen,Kazakhstan
750125-33D.CanFam31.realigned.bam,CentralAsia,yellowgreen,Russia
750117-28D.CanFam31.realigned.bam,CentralAsia,yellowgreen,Kazakhstan
750282-35D.CanFam31.realigned.bam,CentralAsia,yellowgreen,Russia
750016-17D.CanFam31.realigned.bam,CentralAsia,yellowgreen,Russia
China_SRR20326486.merge.CanFam31.bam,CentralAsia,yellowgreen,China_Xinjiang
China_SRR20326485.merge.CanFam31.bam,CentralAsia,yellowgreen,China_Xinjiang
China_SRR20326484.merge.CanFam31.bam,CentralAsia,yellowgreen,China_Xinjiang
China_SRR20326483.merge.CanFam31.bam,CentralAsia,yellowgreen,China_Xinjiang
MW486.CanFam31.realigned.bam,CentralAsia,yellowgreen,Russia
China_SRR20326491.merge.CanFam31.bam,EastAsia,darkseagreen4,China_Heilongjiang
China_SRR20326479.CanFam31.bam,EastAsia,orange2,China_Sichuan
MW574.CanFam31.realigned.bam,EastAsia,darkseagreen4,Mongolia
Wang_GW4.CanFam31.realigned.bam,EastAsia,darkseagreen4,China_InnerMongolia
InnerMongoliaWolf.CanFam31.realigned.bam,EastAsia,darkseagreen4,China_InnerMongolia
MW588.CanFam31.realigned.bam,EastAsia,darkseagreen4,Mongolia
MW561.CanFam31.realigned.bam,EastAsia,darkseagreen4,Mongolia
MW524.CanFam31.realigned.bam,EastAsia,darkseagreen4,Russia
MW538.CanFam31.realigned.bam,EastAsia,darkseagreen4,Russia
MW336.CanFam31.realigned.bam,Europe,green2,Slovakia
Chinese_CAN7.CanFam31.realigned.bam,EastAsia,darkseagreen4,China_InnerMongolia
Chinese_CAN6.CanFam31.realigned.bam,EastAsia,darkseagreen4,Russia
Wang_GW2.CanFam31.realigned.bam,EastAsia,darkseagreen4,China_Lioning
LiaoNingWolf.CanFam31.realigned.bam,EastAsia,darkseagreen4,China_Shanxi
Shanxi2Wolf.CanFam31.realigned.bam,EastAsia,darkseagreen4,China_Shanxi
Shanxi1Wolf.CanFam31.realigned.bam,EastAsia,darkseagreen4,China_Shanxi
