P1,P2,Group,Group_ordered,Group_broad,Lat,Long,P3,P4,Dstat,Se,Zscore,ABBA,BABA,total
Wolf_Norway_MW005,Wolf_SaudiArabia,SouthwestAsia,Z_SouthwestAsia,SouthwestAsia,24.97379854,44.7977182,Wolf_Tibetan_CAN35,Andeanfox,0.001419,0.000084,16.916,455711,392348,44668530
Wolf_Norway_MW005,Wolf_Iran_Hajjiabad,SouthwestAsia,Z_SouthwestAsia,SouthwestAsia,28,57,Wolf_Tibetan_CAN32,Andeanfox,0.001423,0.000086,16.59,461173,397601,44668530
Wolf_Norway_MW021,Wolf_Kolhu_S21_1037,highPakistan,A_highPakistan,highPakistan,29.9003415,69.24934099,Wolf_Tibetan_CAN32,Andeanfox,0.000954,0.000098,9.777,446893,404296,44668530
Wolf_Norway_MW005,Wolf_Iran_Kerman_SRR12009566,SouthwestAsia,Z_SouthwestAsia,SouthwestAsia,30.2828164,57.07311417,Wolf_Tibetan_CAN32,Andeanfox,0.001351,0.000085,15.959,455584,395233,44668530
Wolf_Norway_MW007,Wolf_Israel_S21_2743,SouthwestAsia,Z_SouthwestAsia,SouthwestAsia,31.12472732,34.77573696,Wolf_Tibetan_CAN32,Andeanfox,0.001208,0.00009,13.444,441979,388005,44668530
Wolf_Norway_MW020,Wolf_Waziristan_S21_1041,highPakistan,A_highPakistan,highPakistan,32.34651465,69.6241521,Wolf_Tibetan_CAN32,Andeanfox,0.000822,0.000098,8.368,439619,402886,44668530
Wolf_Norway_MW005,Lebanonwolf,SouthwestAsia,Z_SouthwestAsia,SouthwestAsia,33.88737417,35.76942138,Wolf_Tibetan_CAN32,Andeanfox,0.001652,0.000116,14.229,467654,393856,44668530
Wolf_Norway_MW005,Wolf_Syria,SouthwestAsia,Z_SouthwestAsia,SouthwestAsia,34.82073877,38.16197632,Wolf_Tibetan_CAN41,Andeanfox,0.001299,0.000079,16.376 ,447719,389685,44668530
Wolf_Norway_MW005,Wolf_Chitral_S21_1038,highPakistan,A_highPakistan,highPakistan,34.89786952,71.69333175,Wolf_Tibetan_CAN32,Andeanfox,0.000296,0.000106,2.788,421634,408398,44668530
Wolf_Norway_MW005,Wolf_Shanxi2_SAMN03168395,EastChina,E_EastChina,EastChina_Mongolia,35.08332655,111.4968733,Wolf_Tibetan_CAN49,Andeanfox,-0.001075,0.00012,-8.943,388760,436772,44668530
