P1,P2,Lat,Long,Name,Population,P3,P4,Dstat,sd,Zscore,Populationgroup,Sign
Wolf_Norway_MW005,Indianwolf_BH124,17.8263229,75.86523587,Indian,Indian,Indianwolf_BH123,Andeanfox,-0.016776,0.000212,-79.162,,yes
Wolf_Norway_MW005,Indianwolf_SRR13985171,22.0438,72.0202,Indian,Indian,Indianwolf_BH123,Andeanfox,-0.015184,0.000205,-74.154,,yes
Wolf_Norway_MW005,Indianwolf_BH126,18.19709671,74.59082031,Indian,Indian,Indianwolf_BH123,Andeanfox,-0.017704,0.000239,-74.029,,yes
Wolf_Norway_MW005,Indianwolf_BH6,26.27649942,73.01818138,Indian,Indian,Indianwolf_BH123,Andeanfox,-0.013317,0.000194,-68.505,,yes
Wolf_Norway_MW005,Wolf_DGKhan_S19_10680,29.552489,70.32489,Pakistan_DGKhan,Pakistan,Indianwolf_BH123,Andeanfox,-0.008937,0.000255,-35.031,r_Pakistan,yes
Wolf_Norway_MW005,Wolf_Kolhu_S21_1037,29.9003415,69.24934099,Pakistan_Kolhu,Pakistan,Indianwolf_BH123,Andeanfox,-0.006752,0.000209,-32.368,r_Pakistan,yes
Wolf_Norway_MW005,Wolf_Punjab_S21_1039,33.41427764,73.37883674,Pakistan_Punjab,Pakistan,Indianwolf_BH123,Andeanfox,-0.00641,0.000216,-29.686,r_Pakistan,yes
Wolf_Norway_MW005,Wolf_Waziristan_S21_1041,32.34651465,69.6241521,Pakistan_Waziristan,Pakistan,Indianwolf_BH123,Andeanfox,-0.005506,0.000191,-28.849,r_Pakistan,yes
Wolf_Norway_MW005,Wolf_Karakoram_S19_10679,35.66796055,75.15682031,Pakistan_Karakoram1,Pakistan,Indianwolf_BH123,Andeanfox,-0.004626,0.000171,-27.065,r_Pakistan,yes
Wolf_Norway_MW005,Wolf_q_Iran_Hajjiabad,28,57,Iran_Hajiabad,Iran,Indianwolf_BH123,Andeanfox,-0.002779,0.000114,-24.452,q_Iran,yes
Wolf_Norway_MW005,Wolf_Chitral_S21_1042,35.89786952,71.69333175,Pakistan_Chitral1,Pakistan,Indianwolf_BH123,Andeanfox,-0.004123,0.000177,-23.322,r_Pakistan,yes
