P1,P2,Population,P3,P4,Dstat,sd,Zscore,Populationgroup,Region2,Region,RegionOrdere,Sign,Location
Wolf_Norway_MW005,Wolf_SaudiArabia,SaudiArabia,Africanwolf ,Andeanfox ,-0.000426,0.000044,-9.607,yes,SWAsia,southwestAsia,a_southwestAsia,yes,1371.55
Wolf_Norway_MW005,Wolf_Syria,Syria,Africanwolf,Andeanfox,-0.000328,0.000039,-8.384,yes,SWAsia,southwestAsia,a_southwestAsia,yes,748.3
Wolf_Norway_MW005,Wolf_GeneralIran,Iran,Africanwolf,Andeanfox,-0.000291,0.000035,-8.258,yes,SWAsia,southwestAsia,a_southwestAsia,yes,2081.49
Wolf_Norway_MW005,Wolf_Israel_S21_2743,Israel,Africanwolf,Andeanfox,-0.000216,0.000035,-6.121,yes,SWAsia,southwestAsia,a_southwestAsia,yes,214.05
Wolf_Norway_MW005,Wolf_Turkey,Turkey,Africanwolf,Andeanfox,-0.000118,0.00003,-3.942,yes,SWAsia,southwestAsia,a_southwestAsia,yes,1480.31
Wolf_Norway_MW005,Wolf_Chitral_S21_1038,Pakistan,Africanwolf,Andeanfox,-0.000121,0.000035,-3.412,yes,no,Pakistan,b_Pakistan,yes,3666.3
Wolf_Norway_MW005,Indianwolf_SRR13985171,Indian,Africanwolf,Andeanfox,-0.000143,0.000046,-3.144,no,no,Indian,c_Indian,yes,3963.79
Wolf_Norway_MW005,Wolf_Kolhu_S21_1037,Pakistan,Africanwolf ,Andeanfox,-0.000116,0.000037,-3.106,yes,no,Pakistan,b_Pakistan,yes,3478.3
Wolf_Norway_MW005,Lebanonwolf,Lebanon,Africanwolf,Andeanfox,-0.000126,0.000042,-3.027,yes,SWAsia,southwestAsia,a_southwestAsia,yes,494.31
Wolf_Norway_MW005,Wolf_Iran_Tehran_SRR20326408,Iran,Africanwolf,Andeanfox,-0.000121,0.00004,-2.993,no,SWAsia,southwestAsia,a_southwestAsia,no,1811.57
Wolf_Norway_MW005,Wolf_Iran_Kerman_SRR12009566,Iran,Africanwolf,Andeanfox,-0.000104,0.000036,-2.922,no,SWAsia,southwestAsia,a_southwestAsia,no,2316.71
Wolf_Norway_MW005,Wolf_Waziristan_S21_1041,Pakistan,Africanwolf,Andeanfox,-0.000094,0.000035,-2.685,no,no,Pakistan,b_Pakistan,no,3471.08
Wolf_Norway_MW005,Wolf_Iran_Hamadan,Iran,Africanwolf,Andeanfox,-0.000088,0.000034,-2.557,no,SWAsia,southwestAsia,a_southwestAsia,no,1542.48
Wolf_Norway_MW005,Wolf_Iran_Tehran_SRR12009567,Iran,Africanwolf,Andeanfox,-0.000087,0.000037,-2.368,no,SWAsia,southwestAsia,a_southwestAsia,no,1811.57
Wolf_Norway_MW005,Wolf_Iran_Hajjiabad,Iran,Africanwolf,Andeanfox,-0.00008,0.000036,-2.231,no,SWAsia,southwestAsia,a_southwestAsia,no,2228.16
Wolf_Norway_MW005,Wolf_Punjab_S21_1039,Pakistan,Africanwolf ,Andeanfox,-0.000068,0.000035,-1.971,no,no,Pakistan,b_Pakistan,no,3928.69
Wolf_Norway_MW005,Wolf_Chitral_S21_1042,Pakistan,Africanwolf,Andeanfox,-0.000049,0.000033,-1.482,no,no,Pakistan,b_Pakistan,no,3666.3
Wolf_Norway_MW005,Wolf_Iran_Tehran_SRR20326410,Iran,Africanwolf,Andeanfox,-0.000049,0.000033,-1.458,no,SWAsia,southwestAsia,a_southwestAsia,no,1811.57
Wolf_Norway_MW005,Indianwolf_BH6,Indian,Africanwolf ,Andeanfox ,-0.00003,0.00004,-0.751,no,no,Indian,c_Indian,no,4173.61
Wolf_Norway_MW005,Wolf_DGKhan_S19_10680,Pakistan,Africanwolf,Andeanfox,-0.000028,0.000039,-0.721,no,no,Pakistan,b_Pakistan,no,3605.05
Wolf_Norway_MW005,Wolf_Iran_Zanjan,Iran,Africanwolf,Andeanfox,-0.000014,0.000038,-0.38,no,SWAsia,southwestAsia,a_southwestAsia,no,1609.02
Wolf_Norway_MW005,Wolf_Russia_750125-33D,Russia,Africanwolf ,Andeanfox ,-0.000007,0.000026,-0.267,no,no,centralAsia,d_centralAsia,no,2975.9
Wolf_Norway_MW005,Indianwolf_BH123,Indian,Africanwolf ,Andeanfox ,0.000008,0.000047,0.176,no,no,Indian,c_Indian,no,4549.15
Wolf_Norway_MW005,Indianwolf_BH124,Indian,Africanwolf ,Andeanfox ,0.000034,0.000042,0.807,no,no,Indian,c_Indian,no,4549.15
Wolf_Norway_MW005,Indianwolf_BH126,Indian,Africanwolf ,Andeanfox ,0.000037,0.000044,0.844,no,no,Indian,c_Indian,no,4549.15
Wolf_Norway_MW005,Wolf_Xinjiang_CAN30,China,Africanwolf,Andeanfox,0.000028,0.00003,0.934,no,no,centralAsia,d_centralAsia,no,4956.41
Wolf_Norway_MW005,Wolf_RussiaAtlai_GW1,Russia,Africanwolf ,Andeanfox ,0.000036,0.000029,1.265,no,no,centralAsia,d_centralAsia,no,5106.23
