P1,,P2,Region,Group,Group_ordered,Group_broad,Lat,Long,P3,P4,Dstat,Se,Zscore,Sig,ABBA,BABA,total,Location,
Wolf_Norway_MW005,,Wolf_Tajikistan_SRR20326381,no,Tajikistan,B_Tajikistan,CentralAsianmountains,38.18732144,73.99845525,Wolf_Tibetan_CAN32,Andeanfox,-0.003208,0.000292,-10.981,yes,402569,545871,44668530,345.24,
Wolf_Norway_MW005,,Wolf_Tajikistan_SRR20326250,no,Tajikistan,B_Tajikistan,CentralAsianmountains,38.18732144,73.99845525,Wolf_Tibetan_CAN34,Andeanfox,-0.002747,0.000269,-10.209,yes,408102,530806,44668530,345.24,
Wolf_Norway_MW005,,Wolf_InnerMongoliia_CAN7,no,EastChina,E_EastChina,EastChina_Mongolia,64.789251,127.814014,Wolf_Tibetan_CAN32,Andeanfox,-0.001661,0.000099,-16.775,yes,381185,455402,44668530,1306.83,
Wolf_Norway_MW005,,Wolf_InnerMongolia_CAN6,no,EastChina,E_EastChina,EastChina_Mongolia,64.789251,127.814014,Wolf_Tibetan_CAN32,Andeanfox,-0.001541,0.00012,-12.813,yes,386823,455677,44668530,1306.83,
Wolf_Norway_MW005,,Wolf_China_LiaoNing,no,EastChina,E_EastChina,EastChina_Mongolia,41.52920016,122.2836808,Wolf_Tibetan_CAN32,Andeanfox,-0.001216,0.000113,-10.768,yes,385584,439923,44668530,1261.95,
Wolf_Norway_MW005,,Wolf_China_InnerMong_Wang_GW4,no,EastChina,E_EastChina,EastChina_Mongolia,43.50679116,114.5133632,Wolf_Tibetan_CAN32,Andeanfox,-0.001168,0.000108,-10.816,yes,373720,425912,44668530,1306.83,
Wolf_Norway_MW005,,Wolf_Shanxi2_SAMN03168395,no,EastChina,E_EastChina,EastChina_Mongolia,36.08332655,111.4968733,Wolf_Tibetan_CAN49,Andeanfox,-0.001075,0.00012,-8.943,yes,388760,436772,44668530,693.14,
Wolf_Norway_MW005,,Wolf_Karakoram_S19_10678,no,highPakistan,A_highPakistan,highPakistan,36.03492307,74.29996755,Wolf_Tibetan_CAN32,Andeanfox,-0.001007,0.000197,-5.104,yes,426924,471910,44668530,133.59,
Wolf_Norway_MW005,,Wolf_China_Shanxi1,no,EastChina,E_EastChina,EastChina_Mongolia,36.08332655,111.4968733,Wolf_Tibetan_CAN32,Andeanfox,-0.000569,0.000129,-4.421,yes,419348,444765,44668530,693.14,
Wolf_Norway_MW005,,Wolf_China_InnerMongoliaWolf,no,EastChina,E_EastChina,EastChina_Mongolia,43.50679116,114.5133632,Wolf_Tibetan_CAN32,Andeanfox,-0.000566,0.000113,-5.005,yes,401608,426888,44668530,1306.83,
Wolf_Norway_MW005,,Wolf_Mongolia_MW574,no,Mongolia,F_Mongolia,EastChina_Mongolia,46.38686805,102.7913401,Wolf_Tibetan_CAN32,Andeanfox,-0.000516,0.000116,-4.438,yes,391727,414786,44668530,655.25,
