P1,P2,P3,P4,Dstat,SD,Zscore,Significant,,,
Wolf_Norway_MW005,Wolf_Syria,Goldenjackal1,Andeanfox,-0.000225,0.000032,-7.01,yes,252554,262601,44668530
Wolf_Norway_MW005,Wolf_Russia_750125,Goldenjackal1,Andeanfox,-0.000088,0.000027,-3.239,yes,229667,233599,44668530
Wolf_Norway_MW005,Wolf_Tajikistan_SRR20326384,Goldenjackal1,Andeanfox,-0.000072,0.000034,-2.126,no,259199,262417,44668530
Wolf_Norway_MW005,Wolf_Chitral_S21_1038,Goldenjackal1,Andeanfox,-0.000006,0.000028,-0.231,no,251108,251394,44668530
Wolf_Norway_MW005,Wolf_Bosnia_MW703A,Goldenjackal1,Andeanfox,0.00001,0.000035,0.277,no,233499,233072,44668530
Wolf_Norway_MW005,Wolf_Bulgaria_MW706A,Goldenjackal1,Andeanfox,0.00001,0.000035,0.277,no,233499,233072,44668530
Wolf_Norway_MW005,Wolf_SaudiArabia,Goldenjackal1,Andeanfox,0.000032,0.000036,0.889,no,261307,259889,44668530
Wolf_Norway_MW005,Wolf_Kazakhstan_750119,Goldenjackal1,Andeanfox,0.000039,0.000028,1.374,no,238536,236812,44668530
Wolf_Norway_MW005,Wolf_Kazakhstan_750114,Goldenjackal1,Andeanfox,0.00004,0.000029,1.396,no,237863,236068,44668530
Wolf_Norway_MW005,Wolf_Tajikistan_SRR20326385,Goldenjackal1,Andeanfox,0.000055,0.000039,1.429,no,263696,261224,44668530
Wolf_Norway_MW005,Wolf_Russia_MW538,Goldenjackal1,Andeanfox,0.00005,0.000033,1.481,no,238911,236698,44668530
Wolf_Norway_MW005,Indianwolf_BH6,Goldenjackal1,Andeanfox,0.00006,0.00004,1.494,no,264205,261517,44668530
Wolf_Norway_MW005,Wolf_Mongolia_MW561,Goldenjackal1,Andeanfox,0.000052,0.000034,1.528,no,236401,234089,44668530
Wolf_Norway_MW005,Wolf_Turkey,Goldenjackal1,Andeanfox,0.000049,0.000029,1.711,no,242626,240435,44668530
Wolf_Norway_MW005,Wolf_Kyrgyzstan_SRR20326406,Goldenjackal1,Andeanfox,0.000072,0.00004,1.812,no,264307,261090,44668530
Wolf_Norway_MW005,Wolf_DGKhan_S19_10680,Goldenjackal1,Andeanfox,0.000072,0.000036,1.969,no,271144,267939,44668530
Wolf_Norway_MW005,Wolf_Chitral_S21_1042,Goldenjackal1,Andeanfox,0.00009,0.000043,2.124,no,261048,257011,44668530
Wolf_Norway_MW005,Wolf_Germany_MW055,Goldenjackal1,Andeanfox,0.000045,0.000021,2.153,no,223779,221758,44668530
Wolf_Norway_MW005,Indianwolf_BH126,Goldenjackal1,Andeanfox,0.000104,0.000048,2.158,no,271833,267207,44668530
Wolf_Norway_MW005,Wolf_Ukraine_MW707,Goldenjackal1,Andeanfox,0.00006,0.000027,2.24,no,234040,231364,44668530
Wolf_Norway_MW005,Wolf_Kolhu_S21_1037,Goldenjackal1,Andeanfox,0.000073,0.000032,2.259,no,260628,257368,44668530
Wolf_Norway_MW005,Indianwolf_BH123,Goldenjackal1,Andeanfox,0.000107,0.000045,2.37,no,284760,279988,44668530
Wolf_Norway_MW005,Tibetanwolf_BH1,Goldenjackal1,Andeanfox,0.000072,0.000029,2.472,no,249855,246617,44668530
Wolf_Norway_MW005,China_SRR20326484_Xinjiang,Goldenjackal1,Andeanfox,0.000097,0.000032,3.046,yesA,264238,259884,44668530
Wolf_Norway_MW005,Wolf_Iran_Tehran_SRR12009567,Goldenjackal1,Andeanfox,0.000123,0.00004,3.097,yesA,265708,260223,44668530
Wolf_Norway_MW005,Wolf_MW486_Russia,Goldenjackal1,Andeanfox,0.00008,0.000026,3.104,yesA,224046,220486,44668530
Wolf_Norway_MW005,Wolf_Iran_Tehran_SRR20326410,Goldenjackal1,Andeanfox,0.000119,0.000038,3.136,yesA,267404,262076,44668530
Wolf_Norway_MW005,Wolf_Iran_Kerman_SRR12009566,Goldenjackal1,Andeanfox,0.000123,0.000039,3.161,yesA,265052,259568,44668530
Wolf_Norway_MW005,Wolf_Tajikistan_SRR20326250,Goldenjackal1,Andeanfox,0.000109,0.000034,3.177,yesA,269338,264485,44668530
Wolf_Norway_MW005,Wolf_Tajikistan_SRR20326251,Goldenjackal1,Andeanfox,0.000101,0.000032,3.179,yesA,265967,261443,44668530
Wolf_Norway_MW005,Indianwolf_SRR13985171,Goldenjackal1,Andeanfox,0.000143,0.000045,3.186,yesA,280519,274114,44668530
Wolf_Norway_MW005,Wolf_SierraMorena,Goldenjackal1,Andeanfox,0.000158,0.000046,3.403,yesA,258407,251349,44668530
Wolf_Norway_MW005,Wolf_Kazakhstan_SRR20326405,Goldenjackal1,Andeanfox,0.000127,0.000036,3.509,yesA,264217,258550,44668530
Wolf_Norway_MW005,Wolf_Finland_MW347,Goldenjackal1,Andeanfox,0.000113,0.000032,3.531,yesA,209588,204521,44668530
Wolf_Norway_MW005,Wolf_Russia_SRR20326388,Goldenjackal1,Andeanfox,0.00015,0.000042,3.56,yesA,261570,254860,44668530
Wolf_Norway_MW005,Wolf_Karakoram_S19_10679,Goldenjackal1,Andeanfox,0.000121,0.000034,3.579,yesA,267618,262206,44668530
Wolf_Norway_MW005,Wolf_Tajikistan_SRR20326381,Goldenjackal1,Andeanfox,0.000115,0.000032,3.594,yesA,269730,264597,44668530
Wolf_Norway_MW005,Wolf_Croatia_MW1126,Goldenjackal1,Andeanfox,0.000095,0.000026,3.626,yesA,228858,224599,44668530
Wolf_Norway_MW005,Wolf_Greece_MW1135,Goldenjackal1,Andeanfox,0.000095,0.000026,3.626,yesA,228858,224599,44668530
Wolf_Norway_MW005,Wolf_Tajikistan_SRR20326382,Goldenjackal1,Andeanfox,0.000148,0.00004,3.665,yesA,266910,260296,44668530
Wolf_Norway_MW005,Wolf_MW062_Romania,Goldenjackal1,Andeanfox,0.000132,0.000036,3.697,yesA,230490,224584,44668530
Wolf_Norway_MW005,Wolf_Waziristan_S21_1041,Goldenjackal1,Andeanfox,0.000126,0.000034,3.721,yesA,259191,253556,44668530
Wolf_Norway_MW005,Wolf_Lithuania_MW020,Goldenjackal1,Andeanfox,0.000126,0.000034,3.724,yesA,230892,225264,44668530
Wolf_Norway_MW005,Wolf_Israel_S21_2743,Goldenjackal1,Andeanfox,0.000117,0.000031,3.737,yesA,257198,251963,44668530
Wolf_Norway_MW005,Wolf_Iran_Tehran_SRR20326408,Goldenjackal1,Andeanfox,0.000114,0.00003,3.805,yesA,267897,262819,44668530
Wolf_Norway_MW005,Wolf_Russia_SRR20326400,Goldenjackal1,Andeanfox,0.000151,0.00004,3.823,yesA,267502,260753,44668530
Wolf_Norway_MW005,Wolf_Iran_Hajjiabad,Goldenjackal1,Andeanfox,0.000157,0.00004,3.906,yesA,269357,262338,44668530
Wolf_Norway_MW005,Wolf_Russia_7502882,Goldenjackal1,Andeanfox,0.000125,0.000032,3.924,yesA,235036,229468,44668530
Wolf_Norway_MW005,Wolf_Punjab_S21_1039,Goldenjackal1,Andeanfox,0.000158,0.00004,3.983,yesA,264106,257043,44668530
Wolf_Norway_MW005,Wolf_Iran_Hamadan,Goldenjackal1,Andeanfox,0.000138,0.000034,3.99,yesA,264197,258055,44668530
Wolf_Norway_MW005,Wolf_ChukotkaRussia_Wang_GW2,Goldenjackal1,Andeanfox,0.000111,0.000027,4.088,yesA,236394,231418,44668530
Wolf_Norway_MW005,Wolf_RussiaAtlai_GW1,Goldenjackal1,Andeanfox,0.000133,0.000032,4.12,yesA,238312,232380,44668530
Wolf_Norway_MW005,Wolf_Mongolia_MW588,Goldenjackal1,Andeanfox,0.000117,0.000028,4.187,yesA,238008,232766,44668530
Wolf_Norway_MW005,Wolf_Mongolia_MW574,Goldenjackal1,Andeanfox,0.000146,0.000034,4.262,yesA,241860,235345,44668530
Wolf_Norway_MW005,Wolf_Karakoram_S19_10678,Goldenjackal1,Andeanfox,0.000156,0.000036,4.271,yesA,268319,261360,44668530
Wolf_Norway_MW005,Wolf_Russia_SRR20326403,Goldenjackal1,Andeanfox,0.000176,0.000041,4.279,yesA,265829,257972,44668530
Wolf_Norway_MW005,Wolf_Kazakhstan_750117,Goldenjackal1,Andeanfox,0.000114,0.000027,4.279,yesA,239832,234728,44668530
Wolf_Norway_MW005,China_SRR20326491_Heilongjiang,Goldenjackal1,Andeanfox,0.000144,0.000033,4.328,yesA,267938,261484,44668530
Wolf_Norway_MW005,Wolf_Russia_MW524,Goldenjackal1,Andeanfox,0.000151,0.000034,4.454,yesA,241028,234277,44668530
Wolf_Norway_MW005,Indianwolf_BH124,Goldenjackal1,Andeanfox,0.000177,0.000039,4.499,yesA,271134,263222,44668530
Wolf_Norway_MW005,Wolf_Russia_SRR20326401,Goldenjackal1,Andeanfox,0.000155,0.000034,4.522,yesA,264936,258010,44668530
Wolf_Norway_MW005,Wolf_Iran_Zanjan,Goldenjackal1,Andeanfox,0.000162,0.000035,4.607,yesA,268971,261721,44668530
Wolf_Norway_MW005,Wolf_Tajikisan_SRR20326383,Goldenjackal1,Andeanfox,0.00014,0.00003,4.612,yesA,266186,259913,44668530
Wolf_Norway_MW005,China_SRR20326485_Xinjiang,Goldenjackal1,Andeanfox,0.000176,0.000036,4.838,yesA,267720,259843,44668530
Wolf_Norway_MW005,Lebanonwolf,Goldenjackal1,Andeanfox,0.000201,0.000041,4.953,yesA,271861,262874,44668530
Wolf_Norway_MW005,Tibetanwolf_BH4,Goldenjackal1,Andeanfox,0.000156,0.000029,5.286,yesA,253228,246280,44668530
Wolf_Norway_MW005,Wolf_Russia_SRR20326404,Goldenjackal1,Andeanfox,0.000203,0.000036,5.585,yesA,268075,259024,44668530
Wolf_Norway_MW005,China_SRR20326483_Xinjiang,Goldenjackal1,Andeanfox,0.000192,0.000034,5.684,yesA,267350,258788,44668530
Wolf_Norway_MW005,Wolf_GeneralIran,Goldenjackal1,Andeanfox,0.000165,0.000029,5.685,yesA,251394,244033,44668530
Wolf_Norway_MW005,Wolf_Xinjiang_CAN24,Goldenjackal1,Andeanfox,0.000207,0.000035,5.896,yesA,247716,238482,44668530
Wolf_Norway_MW005,Wolf_China_LiaoNing,Goldenjackal1,Andeanfox,0.000201,0.000033,6.054,yesA,246240,237282,44668530
Wolf_Norway_MW005,Wolf_Czech_MW045,Goldenjackal1,Andeanfox,0.000143,0.000024,6.09,yesA,225344,218949,44668530
Wolf_Norway_MW005,Wolf_Russia_750016,Goldenjackal1,Andeanfox,0.000196,0.000032,6.162,yesA,238478,229706,44668530
Wolf_Norway_MW005,China_SRR20326479_Sichuan,Goldenjackal1,Andeanfox,0.000188,0.000029,6.489,yesA,264577,256160,44668530
Wolf_Norway_MW005,Wolf_Austria_MW515,Goldenjackal1,Andeanfox,0.000175,0.000027,6.604,yesA,233084,225247,44668530
Wolf_Norway_MW005,Wolf_Russia_GW3,Goldenjackal1,Andeanfox,0.000239,0.000034,7.012,yesA,230848,220188,44668530
Wolf_Norway_MW005,Wolf__Kyrgyz180,Goldenjackal1,Andeanfox,0.000212,0.00003,7.016,yesA,262709,253254,44668530
