Time,Ne,,,,label
0,45.24202239,830.681329,0.001127,0.00133,highcoverage
4568.500112,1.111242485,35838.3122,0.048615,0.123116,highcoverage
9535.625792,3.591416865,11655.3016,0.01581,0.014547,highcoverage
14936.42679,4.074153521,10987.64518,0.014905,0.011308,highcoverage
20809.61479,5.511734427,8702.881724,0.011805,0.008627,highcoverage
27194.94771,5.511734427,9335.309826,0.012663,0.009359,highcoverage
34137.93791,7.539400781,7327.202311,0.009939,0.007589,highcoverage
41687.7597,7.539400781,7874.563529,0.010682,0.008603,highcoverage
49896.20299,9.527035749,6699.7575,0.009088,0.007847,highcoverage
58821.85842,9.527035749,7206.010621,0.009775,0.008761,highcoverage
68526.97855,10.79294063,6839.999809,0.009278,0.008494,highcoverage
79079.57036,10.79294063,7353.596869,0.009975,0.009383,highcoverage
90553.9184,10.07021183,8460.796356,0.011477,0.010953,highcoverage
103030.0617,10.07021183,9068.419245,0.012301,0.011812,highcoverage
116595.363,8.944488139,10917.83511,0.01481,0.014277,highcoverage
131345.5553,8.944488139,11645.82463,0.015798,0.01526,highcoverage
147384.2184,8.426565,13154.89286,0.017845,0.017156,highcoverage
164822.7791,8.426565,13963.24479,0.018941,0.018147,highcoverage
183784.6964,8.310751004,14993.34091,0.020338,0.019412,highcoverage
204402.3223,8.310751004,15838.54252,0.021485,0.020443,highcoverage
226820.5638,8.507067676,16310.34688,0.022125,0.020987,highcoverage
251196.3604,8.507067676,17153.0872,0.023268,0.021981,highcoverage
277701.2987,8.889577253,17227.1407,0.023369,0.022004,highcoverage
306520.044,8.889577253,18038.62298,0.024469,0.02292,highcoverage
337856.0941,9.181258267,18240.6977,0.024743,0.023107,highcoverage
371928.1176,9.181258267,18996.55367,0.025769,0.023977,highcoverage
408975.7082,9.152735757,19769.27981,0.026817,0.024917,highcoverage
449258.8621,9.152735757,20423.99497,0.027705,0.025717,highcoverage
493059.5466,8.843904379,21717.71796,0.02946,0.027342,highcoverage
540684.8393,8.843904379,22180.99191,0.030088,0.027947,highcoverage
592469.544,8.444910241,23555.32124,0.031953,0.029688,highcoverage
648776.7133,8.444910241,23700.21026,0.032149,0.029905,highcoverage
710000.2646,8.102402327,24640.22714,0.033424,0.031095,highcoverage
776570.7345,8.102402327,24347.42948,0.033027,0.030755,highcoverage
848954.7554,7.881052663,24490.7992,0.033222,0.030932,highcoverage
927659.2411,7.881052663,23704.84477,0.032156,0.029954,highcoverage
1013237.141,7.827336655,22857.85423,0.031007,0.028869,highcoverage
1106288.485,7.827336655,21639.5205,0.029354,0.027317,highcoverage
1207465.618,7.97429476,19895.48464,0.026988,0.025086,highcoverage
1317477.904,7.97429476,18422.15256,0.02499,0.023185,highcoverage
1437097.486,8.317848936,16185.67951,0.021956,0.020334,highcoverage
1567162.94,8.317848936,14671.2659,0.019902,0.018375,highcoverage
1708586.608,8.807487351,12431.34145,0.016863,0.015535,highcoverage
1862360.344,8.807487351,11034.13772,0.014968,0.013738,highcoverage
2029562.845,9.351317347,9122.161933,0.012374,0.011334,highcoverage
2211366.445,9.351317347,7914.542128,0.010736,0.009798,highcoverage
2409046.538,9.84196041,6437.229478,0.008732,0.007956,highcoverage
2623989.421,9.84196041,5433.121093,0.00737,0.006697,highcoverage
2857702.231,10.17911218,4356.9324,0.00591,0.005366,highcoverage
3111824.984,10.17911218,3547.12946,0.004812,0.004363,highcoverage
3388138.94,10.30449114,2786.932426,0.00378,0.003428,highcoverage
3688582.822,10.30449114,2161.578446,0.002932,0.00266,highcoverage
4015263.275,10.23473643,1636.886027,0.00222,0.002016,highcoverage
4370472.137,10.23473643,1190.514653,0.001615,0.001468,highcoverage
4756700.031,9.931516813,855.895501,0.001161,0.001057,highcoverage
5176655.729,9.931516813,570.063573,0.000773,0.000706,highcoverage
5633284.979,9.931516813,363.798678,0.000493,0.000452,highcoverage
6129790.387,9.931516813,221.624772,0.000301,0.000276,highcoverage
0,4.911231469,7001.710869,0.010044,0.016088,FNR12.
4436.120889,0.932875315,38742.80508,0.055578,0.115962,FNR12.
9261.819,4.267727629,8882.096306,0.012742,0.009472,FNR12.
14509.98072,4.165877563,9753.281449,0.013991,0.009882,FNR12.
20219.05783,5.538119633,7868.850353,0.011288,0.007972,FNR12.
26428.00806,5.538119633,8447.084892,0.012118,0.008869,FNR12.
33181.86044,8.035294679,6257.163194,0.008976,0.00693,FNR12.
40527.66783,8.035294679,6733.665336,0.00966,0.007965,FNR12.
48517.5425,9.923404604,5869.047414,0.008419,0.007442,FNR12.
57208.15022,9.923404604,6319.086132,0.009065,0.008236,FNR12.
66661.21622,10.7526418,6276.189241,0.009003,0.008362,FNR12.
76942.51328,10.7526418,6751.275094,0.009685,0.009219,FNR12.
88125.40333,9.99283398,7803.118977,0.011194,0.010804,FNR12.
100289.3197,9.99283398,8368.235508,0.012005,0.011651,FNR12.
113519.2609,9.071543643,9865.270149,0.014152,0.013758,FNR12.
127909.8388,9.071543643,10534.11265,0.015112,0.014701,FNR12.
143561.7361,8.519029313,11950.22745,0.017143,0.016593,FNR12.
160586.2607,8.519029313,12699.05382,0.018217,0.017588,FNR12.
179103.3214,8.324464927,13777.75293,0.019765,0.019026,FNR12.
