Time,Ne,,,,Sample,Population,Poplabel
0,4.390437334,12157.82249,0.014616,0.015217,Russia_SRR20326404.,4,Russia_SRR20326404._4
5801.096334,4.390437334,12986.61118,0.015613,0.012309,Russia_SRR20326404.,4,Russia_SRR20326404._4
12095.13203,4.390437334,13853.66649,0.016655,0.010748,Russia_SRR20326404.,4,Russia_SRR20326404._4
18923.12838,4.390437334,14757.54154,0.017742,0.011727,Russia_SRR20326404.,4,Russia_SRR20326404._4
26330.20884,9.604074384,7215.879948,0.008675,0.00635,Russia_SRR20326404.,4,Russia_SRR20326404._4
34365.59897,9.604074384,7752.604016,0.00932,0.007815,Russia_SRR20326404.,4,Russia_SRR20326404._4
43083.31015,10.92561304,7320.68224,0.008801,0.007971,Russia_SRR20326404.,4,Russia_SRR20326404._4
52540.08852,10.92561304,7862.798885,0.009453,0.009003,Russia_SRR20326404.,4,Russia_SRR20326404._4
62800.2008,11.66649046,7904.946117,0.009504,0.009368,Russia_SRR20326404.,4,Russia_SRR20326404._4
73930.64845,11.66649046,8481.808198,0.010197,0.010372,Russia_SRR20326404.,4,Russia_SRR20326404._4
86005.26983,10.80171005,9815.186779,0.0118,0.012258,Russia_SRR20326404.,4,Russia_SRR20326404._4
99104.74016,10.80171005,10499.76843,0.012623,0.013295,Russia_SRR20326404.,4,Russia_SRR20326404._4
113315.2042,9.817563866,12333.33598,0.014827,0.015714,Russia_SRR20326404.,4,Russia_SRR20326404._4
128732.3783,9.817563866,13138.5786,0.015795,0.016768,Russia_SRR20326404.,4,Russia_SRR20326404._4
145456.7647,9.104702139,15056.63553,0.018101,0.019144,Russia_SRR20326404.,4,Russia_SRR20326404._4
163601.172,9.104702139,15960.75126,0.019188,0.020247,Russia_SRR20326404.,4,Russia_SRR20326404._4
183285.2456,8.820380982,17422.83888,0.020946,0.021999,Russia_SRR20326404.,4,Russia_SRR20326404._4
204638.8863,8.820380982,18377.15728,0.022093,0.023096,Russia_SRR20326404.,4,Russia_SRR20326404._4
227804.9851,9.062880607,18828.24374,0.022636,0.02353,Russia_SRR20326404.,4,Russia_SRR20326404._4
252936.6881,9.062880607,19778.8465,0.023779,0.024562,Russia_SRR20326404.,4,Russia_SRR20326404._4
280200.8154,9.502911804,19778.16629,0.023778,0.024458,Russia_SRR20326404.,4,Russia_SRR20326404._4
309778.5443,9.502911804,20695.74811,0.024881,0.025452,Russia_SRR20326404.,4,Russia_SRR20326404._4
341866.7771,9.807293001,20933.04983,0.025166,0.025664,Russia_SRR20326404.,4,Russia_SRR20326404._4
376676.7735,9.807293001,21794.10225,0.026201,0.026628,Russia_SRR20326404.,4,Russia_SRR20326404._4
414440.9877,9.72629146,22795.33933,0.027405,0.027821,Russia_SRR20326404.,4,Russia_SRR20326404._4
455409.6495,9.72629146,23551.21534,0.028314,0.028741,Russia_SRR20326404.,4,Russia_SRR20326404._4
499854.867,9.35249258,25171.96457,0.030262,0.030733,Russia_SRR20326404.,4,Russia_SRR20326404._4
548071.3099,9.35249258,25722.59892,0.030924,0.031452,Russia_SRR20326404.,4,Russia_SRR20326404._4
600378.9444,8.941984293,27310.07888,0.032833,0.033413,Russia_SRR20326404.,4,Russia_SRR20326404._4
657125.7678,8.941984293,27522.92262,0.033089,0.033718,Russia_SRR20326404.,4,Russia_SRR20326404._4
718687.1252,8.659885123,28423.72161,0.034172,0.034828,Russia_SRR20326404.,4,Russia_SRR20326404._4
785472.5458,8.659885123,28193.064,0.033894,0.034562,Russia_SRR20326404.,4,Russia_SRR20326404._4
857925.0599,8.546416151,28102.08431,0.033785,0.034443,Russia_SRR20326404.,4,Russia_SRR20326404._4
936525.3003,8.546416151,27396.74175,0.032937,0.033569,Russia_SRR20326404.,4,Russia_SRR20326404._4
1021795.605,8.582006796,26364.87649,0.031696,0.032287,Russia_SRR20326404.,4,Russia_SRR20326404._4
1114301.385,8.582006796,25235.3127,0.030338,0.030877,Russia_SRR20326404.,4,Russia_SRR20326404._4
1214656.591,8.739091982,23499.04551,0.028251,0.028727,Russia_SRR20326404.,4,Russia_SRR20326404._4
1323527.137,8.739091982,22058.99071,0.02652,0.026925,Russia_SRR20326404.,4,Russia_SRR20326404._4
1441635.68,8.982733677,19943.61095,0.023977,0.024312,Russia_SRR20326404.,4,Russia_SRR20326404._4
1569767.096,8.982733677,18334.4824,0.022042,0.022304,Russia_SRR20326404.,4,Russia_SRR20326404._4
1708770.526,9.26117356,16165.30882,0.019434,0.019634,Russia_SRR20326404.,4,Russia_SRR20326404._4
1859568.948,9.26117356,14518.5479,0.017455,0.017592,Russia_SRR20326404.,4,Russia_SRR20326404._4
2023163.967,9.527889739,12509.81708,0.01504,0.015132,Russia_SRR20326404.,4,Russia_SRR20326404._4
2200640.596,9.527889739,10935.42898,0.013147,0.013196,Russia_SRR20326404.,4,Russia_SRR20326404._4
2393176.146,9.751215011,9195.876845,0.011055,0.011078,Russia_SRR20326404.,4,Russia_SRR20326404._4
2602050.482,9.751215011,7783.373711,0.009357,0.009357,Russia_SRR20326404.,4,Russia_SRR20326404._4
2828648.073,9.901898388,6365.6442,0.007653,0.007643,Russia_SRR20326404.,4,Russia_SRR20326404._4
3074473.035,9.901898388,5179.90777,0.006227,0.00621,Russia_SRR20326404.,4,Russia_SRR20326404._4
3341158.013,9.966491406,4090.983951,0.004918,0.004901,Russia_SRR20326404.,4,Russia_SRR20326404._4
3630473.079,9.966491406,3170.988644,0.003812,0.003797,Russia_SRR20326404.,4,Russia_SRR20326404._4
3944336.662,9.956034081,2390.852243,0.002874,0.002863,Russia_SRR20326404.,4,Russia_SRR20326404._4
4284834.011,9.956034081,1745.516253,0.002098,0.002091,Russia_SRR20326404.,4,Russia_SRR20326404._4
4654224.033,9.883889413,1239.365316,0.00149,0.001486,Russia_SRR20326404.,4,Russia_SRR20326404._4
5054957.751,9.883889413,840.749316,0.001011,0.001009,Russia_SRR20326404.,4,Russia_SRR20326404._4
5489696.765,9.721668794,554.941003,0.000667,0.000667,Russia_SRR20326404.,4,Russia_SRR20326404._4
5961324.871,9.721668794,343.255793,0.000413,0.000413,Russia_SRR20326404.,4,Russia_SRR20326404._4
6472972.68,9.721668794,202.448436,0.000243,0.000244,Russia_SRR20326404.,4,Russia_SRR20326404._4
7028036.072,9.721668794,113.393651,0.000136,0.000137,Russia_SRR20326404.,4,Russia_SRR20326404._4
0,3.246684302,16322.99499,0.019728,0.015424,Russia_SRR20326404.,2_2.,Russia_SRR20326404._2_2.
5804.902324,3.246684302,17339.27285,0.020956,0.014475,Russia_SRR20326404.,2_2.,Russia_SRR20326404._2_2.
12102.49941,5.882523523,10201.94513,0.01233,0.008359,Russia_SRR20326404.,2_2.,Russia_SRR20326404._2_2.
18933.84916,5.882523523,10918.13701,0.013195,0.00935,Russia_SRR20326404.,2_2.,Russia_SRR20326404._2_2.
26345.48385,8.01755749,8580.880117,0.010371,0.007736,Russia_SRR20326404.,2_2.,Russia_SRR20326404._2_2.
34385.30436,8.01755749,9200.821287,0.01112,0.009262,Russia_SRR20326404.,2_2.,Russia_SRR20326404._2_2.
43107.37026,10.84148542,7301.325564,0.008824,0.007947,Russia_SRR20326404.,2_2.,Russia_SRR20326404._2_2.
52569.1626,10.84148542,7841.17978,0.009477,0.009007,Russia_SRR20326404.,2_2.,Russia_SRR20326404._2_2.
62833.63683,11.80121376,7733.160322,0.009346,0.009227,Russia_SRR20326404.,2_2.,Russia_SRR20326404._2_2.
73969.22277,11.80121376,8298.34037,0.010029,0.010249,Russia_SRR20326404.,2_2.,Russia_SRR20326404._2_2.
86049.14034,10.86398951,9658.860443,0.011673,0.012191,Russia_SRR20326404.,2_2.,Russia_SRR20326404._2_2.
99153.45243,10.86398951,10333.11236,0.012488,0.013232,Russia_SRR20326404.,2_2.,Russia_SRR20326404._2_2.
113369.7492,9.832036593,12189.95185,0.014733,0.015705,Russia_SRR20326404.,2_2.,Russia_SRR20326404._2_2.
128792.4639,9.832036593,12985.8282,0.015694,0.016758,Russia_SRR20326404.,2_2.,Russia_SRR20326404._2_2.
145522.8726,9.103733266,14904.86786,0.018014,0.019159,Russia_SRR20326404.,2_2.,Russia_SRR20326404._2_2.
163673.2002,9.103733266,15799.38068,0.019095,0.020259,Russia_SRR20326404.,2_2.,Russia_SRR20326404._2_2.
183362.5147,8.817494405,17249.9111,0.020848,0.022015,Russia_SRR20326404.,2_2.,Russia_SRR20326404._2_2.
204722.2013,8.817494405,18194.0621,0.021989,0.023109,Russia_SRR20326404.,2_2.,Russia_SRR20326404._2_2.
227894.594,9.061003504,18637.71702,0.022525,0.023539,Russia_SRR20326404.,2_2.,Russia_SRR20326404._2_2.
253032.2914,9.061003504,19578.00857,0.023662,0.02457,Russia_SRR20326404.,2_2.,Russia_SRR20326404._2_2.
280302.2622,9.50184712,19574.82985,0.023658,0.024463,Russia_SRR20326404.,2_2.,Russia_SRR20326404._2_2.
309885.8455,9.50184712,20482.32196,0.024754,0.025456,Russia_SRR20326404.,2_2.,Russia_SRR20326404._2_2.
341978.7506,9.806943064,20714.9564,0.025036,0.025664,Russia_SRR20326404.,2_2.,Russia_SRR20326404._2_2.
376794.4786,9.806943064,21566.42198,0.026065,0.026628,Russia_SRR20326404.,2_2.,Russia_SRR20326404._2_2.
414563.638,9.72597036,22556.50554,0.027261,0.02782,Russia_SRR20326404.,2_2.,Russia_SRR20326404._2_2.
455536.6819,9.72597036,23303.81649,0.028164,0.02874,Russia_SRR20326404.,2_2.,Russia_SRR20326404._2_2.
499985.2768,9.352320169,24906.50167,0.030101,0.03073,Russia_SRR20326404.,2_2.,Russia_SRR20326404._2_2.
548205.0395,9.352320169,25450.67562,0.030759,0.031448,Russia_SRR20326404.,2_2.,Russia_SRR20326404._2_2.
600515.5374,8.941951155,27020.31747,0.032656,0.033409,Russia_SRR20326404.,2_2.,Russia_SRR20326404._2_2.
657263.0253,8.941951155,27230.29231,0.03291,0.033712,Russia_SRR20326404.,2_2.,Russia_SRR20326404._2_2.
718824.5516,8.659934726,28120.68355,0.033986,0.034822,Russia_SRR20326404.,2_2.,Russia_SRR20326404._2_2.
785608.6424,8.659934726,27891.98266,0.03371,0.034555,Russia_SRR20326404.,2_2.,Russia_SRR20326404._2_2.
858058.0387,8.546605599,27801.11356,0.0336,0.034434,Russia_SRR20326404.,2_2.,Russia_SRR20326404._2_2.
936653.8021,8.546605599,27103.02523,0.032756,0.033561,Russia_SRR20326404.,2_2.,Russia_SRR20326404._2_2.
1021916.684,8.582134677,26082.19999,0.031522,0.032279,Russia_SRR20326404.,2_2.,Russia_SRR20326404._2_2.
1114412.598,8.582134677,24964.62448,0.030172,0.030869,Russia_SRR20326404.,2_2.,Russia_SRR20326404._2_2.
1214754.677,8.739157804,23247.11843,0.028096,0.02872,Russia_SRR20326404.,2_2.,Russia_SRR20326404._2_2.
1323609.426,8.739157804,21822.56169,0.026374,0.026918,Russia_SRR20326404.,2_2.,Russia_SRR20326404._2_2.
1441698.096,8.982729112,19730.15646,0.023845,0.024306,Russia_SRR20326404.,2_2.,Russia_SRR20326404._2_2.
1569804.893,8.982729112,18138.46524,0.021922,0.022299,Russia_SRR20326404.,2_2.,Russia_SRR20326404._2_2.
1708779.031,9.260935244,15993.13042,0.019329,0.019631,Russia_SRR20326404.,2_2.,Russia_SRR20326404._2_2.
1859542.26,9.260935244,14364.19333,0.01736,0.017589,Russia_SRR20326404.,2_2.,Russia_SRR20326404._2_2.
