Time,Ne,,,,Sample,Population,PopulationQin,LineThickness
0,0.394275,81169.66234,0.111473,0.217564,Kazakhstan05.,CentralAsia,CentralAsia,no
4176.394444,1.787474628,18075.06688,0.024823,0.027027,Kazakhstan05.,CentralAsia,CentralAsia,no
8721.36386,6.164592748,5596.754653,0.007686,0.004585,Kazakhstan05.,CentralAsia,CentralAsia,no
13668.02795,4.717132725,7873.38962,0.010813,0.006278,Kazakhstan05.,CentralAsia,CentralAsia,no
19050.92583,5.538038953,7208.672091,0.0099,0.006401,Kazakhstan05.,CentralAsia,CentralAsia,no
24908.85487,5.538038953,7748.337984,0.010641,0.007125,Kazakhstan05.,CentralAsia,CentralAsia,no
31283.9244,9.223503708,5009.330234,0.006879,0.004717,Kazakhstan05.,CentralAsia,CentralAsia,no
38222.02887,9.223503708,5404.053342,0.007422,0.005365,Kazakhstan05.,CentralAsia,CentralAsia,no
45772.37468,10.01258599,5368.426686,0.007373,0.005691,Kazakhstan05.,CentralAsia,CentralAsia,no
53989.37279,10.01258599,5786.937269,0.007947,0.006537,Kazakhstan05.,CentralAsia,CentralAsia,no
62931.69238,10.56006112,5911.387896,0.008118,0.00703,Kazakhstan05.,CentralAsia,CentralAsia,no
72663.20716,10.56006112,6364.855102,0.008741,0.007644,Kazakhstan05.,CentralAsia,CentralAsia,no
83253.4685,10.81749153,6684.701848,0.00918,0.008094,Kazakhstan05.,CentralAsia,CentralAsia,no
94778.65172,10.81749153,7185.549015,0.009868,0.008802,Kazakhstan05.,CentralAsia,CentralAsia,no
107321.5561,9.94662079,8385.787931,0.011516,0.010369,Kazakhstan05.,CentralAsia,CentralAsia,no
120971.6048,9.94662079,8981.827631,0.012335,0.011221,Kazakhstan05.,CentralAsia,CentralAsia,no
135826.2643,9.180501861,10400.41117,0.014283,0.013035,Kazakhstan05.,CentralAsia,CentralAsia,no
151992.4641,9.180501861,11089.13701,0.015229,0.013917,Kazakhstan05.,CentralAsia,CentralAsia,no
169585.1767,8.97093372,12074.50566,0.016582,0.015113,Kazakhstan05.,CentralAsia,CentralAsia,no
188731.2034,8.97093372,12818.19857,0.017604,0.016006,Kazakhstan05.,CentralAsia,CentralAsia,no
209567.2812,9.203922222,13238.99365,0.018181,0.016482,Kazakhstan05.,CentralAsia,CentralAsia,no
232242.4487,9.203922222,14000.87822,0.019228,0.017356,Kazakhstan05.,CentralAsia,CentralAsia,no
256919.4657,9.637715049,14114.94434,0.019384,0.017442,Kazakhstan05.,CentralAsia,CentralAsia,no
283774.3396,9.637715049,14871.7989,0.020424,0.018291,Kazakhstan05.,CentralAsia,CentralAsia,no
313000.1111,9.967788366,15116.48084,0.02076,0.018546,Kazakhstan05.,CentralAsia,CentralAsia,no
344805.4342,9.967788366,15852.85839,0.021771,0.019383,Kazakhstan05.,CentralAsia,CentralAsia,no
379418.3619,9.966175394,16573.48282,0.022761,0.020239,Kazakhstan05.,CentralAsia,CentralAsia,no
417086.3454,9.966175394,17262.49324,0.023707,0.021063,Kazakhstan05.,CentralAsia,CentralAsia,no
458079.5471,9.620015364,18538.33801,0.025459,0.022623,Kazakhstan05.,CentralAsia,CentralAsia,no
502691.3128,9.620015364,19117.02313,0.026254,0.023356,Kazakhstan05.,CentralAsia,CentralAsia,no
551241.0111,9.150747895,20593.81627,0.028282,0.025176,Kazakhstan05.,CentralAsia,CentralAsia,no
604076.3988,9.150747895,20956.83037,0.028781,0.025658,Kazakhstan05.,CentralAsia,CentralAsia,no
661575.5137,8.750574792,22130.95371,0.030393,0.027104,Kazakhstan05.,CentralAsia,CentralAsia,no
724149.9865,8.750574792,22161.91085,0.030436,0.027171,Kazakhstan05.,CentralAsia,CentralAsia,no
792248.3524,8.504612615,22636.70281,0.031088,0.027752,Kazakhstan05.,CentralAsia,CentralAsia,no
866357.4711,8.504612615,22258.7923,0.030569,0.027298,Kazakhstan05.,CentralAsia,CentralAsia,no
947008.6773,8.448653222,21827.53936,0.029976,0.026757,Kazakhstan05.,CentralAsia,CentralAsia,no
1034778.727,8.448653222,21048.67321,0.028907,0.025784,Kazakhstan05.,CentralAsia,CentralAsia,no
1130296.421,8.584180548,19786.44076,0.027173,0.024215,Kazakhstan05.,CentralAsia,CentralAsia,no
1234245.445,8.584180548,18702.94926,0.025685,0.022847,Kazakhstan05.,CentralAsia,CentralAsia,no
1347370.519,8.871176747,16938.91868,0.023263,0.020664,Kazakhstan05.,CentralAsia,CentralAsia,no
1470481.184,8.871176747,15686.95563,0.021543,0.019085,Kazakhstan05.,CentralAsia,CentralAsia,no
1604458.896,9.218514247,13829.64382,0.018993,0.016798,Kazakhstan05.,CentralAsia,CentralAsia,no
1750263.18,9.218514247,12523.75027,0.017199,0.015167,Kazakhstan05.,CentralAsia,CentralAsia,no
1908937.78,9.513919409,10846.84262,0.014896,0.013115,Kazakhstan05.,CentralAsia,CentralAsia,no
2081618.703,9.513919409,9561.152342,0.013131,0.01153,Kazakhstan05.,CentralAsia,CentralAsia,no
2269542.732,9.685916044,8142.641046,0.011183,0.009804,Kazakhstan05.,CentralAsia,CentralAsia,no
2474054.527,9.685916044,6935.367278,0.009525,0.008332,Kazakhstan05.,CentralAsia,CentralAsia,no
2696618.926,9.711320361,5767.668592,0.007921,0.00692,Kazakhstan05.,CentralAsia,CentralAsia,no
2938829.932,9.711320361,4699.299933,0.006454,0.00563,Kazakhstan05.,CentralAsia,CentralAsia,no
3202420.652,9.581174986,3774.866461,0.005184,0.004518,Kazakhstan05.,CentralAsia,CentralAsia,no
3489278.909,9.581174986,2902.171818,0.003986,0.003471,Kazakhstan05.,CentralAsia,CentralAsia,no
3801458.598,9.311502112,2214.468307,0.003041,0.002646,Kazakhstan05.,CentralAsia,CentralAsia,no
4141194.825,9.311502112,1577.756171,0.002167,0.001885,Kazakhstan05.,CentralAsia,CentralAsia,no
4510920.469,8.878010374,1123.355638,0.001543,0.001341,Kazakhstan05.,CentralAsia,CentralAsia,no
4913281.795,8.878010374,722.156526,0.000992,0.000862,Kazakhstan05.,CentralAsia,CentralAsia,no
5351160.217,8.878010374,443.203512,0.000609,0.000528,Kazakhstan05.,CentralAsia,CentralAsia,no
5827690.75,8.878010374,258.620411,0.000355,0.000308,Kazakhstan05.,CentralAsia,CentralAsia,no
0,0.866812053,51928.05102,0.06531,0.083551,Krgy180.,CentralAsia,CentralAsia,no
5251.774,4.271243239,10986.29183,0.013817,0.008611,Krgy180.,CentralAsia,CentralAsia,no
10962.55184,5.0022286,10052.96404,0.012644,0.007309,Krgy180.,CentralAsia,CentralAsia,no
17171.43609,6.526558328,8271.360455,0.010403,0.006705,Krgy180.,CentralAsia,CentralAsia,no
23922.94349,8.109309461,7160.056924,0.009005,0.006627,Krgy180.,CentralAsia,CentralAsia,no
31263.39553,8.109309461,7703.481652,0.009689,0.007421,Krgy180.,CentralAsia,CentralAsia,no
39244.52791,10.04200112,6694.660067,0.00842,0.006785,Krgy180.,CentralAsia,CentralAsia,no
47922.88893,10.04200112,7206.512496,0.009064,0.007919,Krgy180.,CentralAsia,CentralAsia,no
57358.63638,12.16945359,6402.226495,0.008052,0.007421,Krgy180.,CentralAsia,CentralAsia,no
67618.54538,12.16945359,6893.72544,0.00867,0.008279,Krgy180.,CentralAsia,CentralAsia,no
78773.60211,11.61892789,7765.983265,0.009767,0.009597,Krgy180.,CentralAsia,CentralAsia,no
90902.61327,11.61892789,8342.682945,0.010493,0.010554,Krgy180.,CentralAsia,CentralAsia,no
104091.0029,9.879076086,10516.52078,0.013227,0.013494,Krgy180.,CentralAsia,CentralAsia,no
118430.2108,9.879076086,11243.64032,0.014141,0.014666,Krgy180.,CentralAsia,CentralAsia,no
134021.9036,9.148637614,12951.67686,0.016289,0.016912,Krgy180.,CentralAsia,CentralAsia,no
150974.3654,9.148637614,13782.31712,0.017334,0.017886,Krgy180.,CentralAsia,CentralAsia,no
169407.3101,9.145144361,14644.20306,0.018418,0.018872,Krgy180.,CentralAsia,CentralAsia,no
189448.8738,9.145144361,15522.19296,0.019522,0.019918,Krgy180.,CentralAsia,CentralAsia,no
211240.4272,9.302265539,16142.98354,0.020303,0.020659,Krgy180.,CentralAsia,CentralAsia,no
234934.7711,9.302265539,17040.42735,0.021432,0.021752,Krgy180.,CentralAsia,CentralAsia,no
260697.3395,9.667279692,17275.0127,0.021727,0.022003,Krgy180.,CentralAsia,CentralAsia,no
288709.2071,9.667279692,18161.76926,0.022842,0.02303,Krgy180.,CentralAsia,CentralAsia,no
319166.4884,9.96323545,18483.14963,0.023246,0.023375,Krgy180.,CentralAsia,CentralAsia,no
