Time,Ne,,,,Sample,Population
0,3.434603493,10874.48668,0.01589,0.04776,Tajikistan_SRR20326384,Tajikistan
4932.731467,3.434603493,11622.04494,0.016982,0.014608,Tajikistan_SRR20326384,Tajikistan
10294.91408,3.434603493,12402.7637,0.018123,0.011664,Tajikistan_SRR20326384,Tajikistan
16122.85547,3.434603493,13214.81451,0.019309,0.01213,Tajikistan_SRR20326384,Tajikistan
22457.40171,11.14751798,4364.788225,0.006378,0.004628,Tajikistan_SRR20326384,Tajikistan
29342.80272,11.14751798,4710.583312,0.006883,0.005725,Tajikistan_SRR20326384,Tajikistan
36827.27957,10.45811789,5414.057429,0.007911,0.007211,Tajikistan_SRR20326384,Tajikistan
44962.45717,10.45811789,5832.091275,0.008522,0.007564,Tajikistan_SRR20326384,Tajikistan
53804.49888,10.10265514,6497.167427,0.009494,0.008714,Tajikistan_SRR20326384,Tajikistan
63415.80843,10.10265514,6984.730754,0.010206,0.009757,Tajikistan_SRR20326384,Tajikistan
73863.328,9.131039327,8294.310567,0.01212,0.011932,Tajikistan_SRR20326384,Tajikistan
85218.53824,9.131039327,8886.317328,0.012985,0.012924,Tajikistan_SRR20326384,Tajikistan
97561.42939,8.661528593,10019.54502,0.014641,0.01456,Tajikistan_SRR20326384,Tajikistan
110977.0974,8.661528593,10696.50543,0.01563,0.015567,Tajikistan_SRR20326384,Tajikistan
125559.7153,8.324548433,11857.89825,0.017327,0.017259,Tajikistan_SRR20326384,Tajikistan
141410.2636,8.324548433,12606.71402,0.018421,0.018325,Tajikistan_SRR20326384,Tajikistan
158639.367,8.485547487,13126.40589,0.01918,0.018979,Tajikistan_SRR20326384,Tajikistan
177366.1601,8.485547487,13906.40339,0.02032,0.019953,Tajikistan_SRR20326384,Tajikistan
197721.1233,8.712425027,14322.62151,0.020928,0.020448,Tajikistan_SRR20326384,Tajikistan
219846.6506,8.712425027,15115.39072,0.022087,0.021496,Tajikistan_SRR20326384,Tajikistan
243895.3475,8.748300727,15847.02286,0.023156,0.022507,Tajikistan_SRR20326384,Tajikistan
270035.7041,8.748300727,16637.29891,0.02431,0.023596,Tajikistan_SRR20326384,Tajikistan
298448.6912,8.677406733,17553.76543,0.02565,0.02489,Tajikistan_SRR20326384,Tajikistan
329332.2988,8.677406733,18307.18441,0.02675,0.02594,Tajikistan_SRR20326384,Tajikistan
362901.5362,8.502740747,19405.76513,0.028356,0.027509,Tajikistan_SRR20326384,Tajikistan
399388.9991,8.502740747,20066.83506,0.029322,0.02847,Tajikistan_SRR20326384,Tajikistan
439049.9755,8.223535613,21341.41848,0.031184,0.030331,Tajikistan_SRR20326384,Tajikistan
482159.0418,8.223535613,21825.04937,0.031891,0.031105,Tajikistan_SRR20326384,Tajikistan
529016.8705,7.926060627,23004.87194,0.033615,0.032877,Tajikistan_SRR20326384,Tajikistan
579948.5284,7.926060627,23203.41479,0.033905,0.033288,Tajikistan_SRR20326384,Tajikistan
635309.1495,7.721172667,23842.10295,0.034838,0.034308,Tajikistan_SRR20326384,Tajikistan
695483.9349,7.721172667,23667.2785,0.034583,0.034184,Tajikistan_SRR20326384,Tajikistan
760890.4225,7.67152044,23452.21531,0.034268,0.033965,Tajikistan_SRR20326384,Tajikistan
831984.1593,7.67152044,22884.03963,0.033438,0.033242,Tajikistan_SRR20326384,Tajikistan
