,Sample,Totalsize,ROHcat,Length
1,China_Xinjiang_SRR20326483,555880076,zbetween0.1.1Mb,491196141
2,China_Xinjiang_SRR20326484,656196707,zbetween0.1.1Mb,537002116
3,China_Xinjiang_SRR20326485,651051978,zbetween0.1.1Mb,541562899
4,China_Heilongjiang_SRR20326491,683050089,zbetween0.1.1Mb,574171814
5,India_BH123,1363535666,zbetween0.1.1Mb,1064639171
6,India_SRR13985171,1299851392,zbetween0.1.1Mb,1004533057
7,Lebanon,795061093,zbetween0.1.1Mb,571637497
8,Kyrgyzstan_SRR25181868,757668150,zbetween0.1.1Mb,547132649
9,Iran,791374442,zbetween0.1.1Mb,617832875
10,China_InnerMongolia_SRR7107913,978524623,zbetween0.1.1Mb,624726547
11,China_InnerMongoliia_SRR7107908,886809695,zbetween0.1.1Mb,646963920
12,Iran_Hajjiabad,686793323,zbetween0.1.1Mb,574838647
13,Iran_Hamadan,723586140,zbetween0.1.1Mb,582145249
14,Iran_Kerman,750061801,zbetween0.1.1Mb,621308976
15,Iran_Tehran_SRR12009567,707085133,zbetween0.1.1Mb,600720365
16,Iran_Tehran_SRR20326408,690309865,zbetween0.1.1Mb,562588494
17,Iran_Tehran_SRR20326410,639357792,zbetween0.1.1Mb,562663482
18,Iran_Zanjan,678772213,zbetween0.1.1Mb,582729191
19,Kazakhstan_SRR20326405,942500871,zbetween0.1.1Mb,467778565
20,Kyrgyzstan_SRR25181869,698314155,zbetween0.1.1Mb,533918220
21,Wolf_Kyrgyzstan_SRR20326406,832513882,zbetween0.1.1Mb,514325281
22,Mexicanwolf,1732419212,zbetween0.1.1Mb,239662198
23,Portugal,1235932436,zbetween0.1.1Mb,510244687
24,China_Qinghai_SRR7107907,1011626881,zbetween0.1.1Mb,732421506
25,China_Qinghai_SRR7107910,1132041925,zbetween0.1.1Mb,772288547
26,Russia_Sochi,568608516,zbetween0.1.1Mb,462802698
27,Russia_SakhaYakutia,680134372,zbetween0.1.1Mb,567067577
28,Russia_Atlai_SRR20326401,734653992,zbetween0.1.1Mb,601394276
29,Russia_Altai_SRR20326403,677323757,zbetween0.1.1Mb,547996920
30,Russia_Atlai_SRR20326404,638864675,zbetween0.1.1Mb,555461898
33,Tajikistan_SRR20326383,722157114,zbetween0.1.1Mb,547013000
34,Tajikistan_SRR20326250,656202094,zbetween0.1.1Mb,545961163
35,Tajikistan_SRR20326251,898892578,zbetween0.1.1Mb,533495291
