sample,count,total derived count,relativederivedcount,relativederivedcountper100000,category,category2,Heterozygosity,Group
D_China_SRR20326484_Xinjiang,105,2419353,4.34E-05,4.340003298,hetLOF,HET,HIGH_LOF,CZentralAsia
B_Indianwolf_BH123,49,2159565,2.26898E-05,2.268975465,hetLOF,HET,HIGH_LOF,B_Indian
B_Indianwolf_SRR13985171,69,2273974,3.03434E-05,3.034335485,hetLOF,HET,HIGH_LOF,B_Indian
Wolf_Iran_Hajjiabad,108,2522174,4.28202E-05,4.282020194,hetLOF,HET,HIGH_LOF,SWAsia
Wolf_Iran_Tehran_SRR20326408,97,2537112,3.82324E-05,3.823244697,hetLOF,HET,HIGH_LOF,SWAsia
Wolf_Iran_Tehran_SRR20326410,105,2533523,4.14443E-05,4.144426555,hetLOF,HET,HIGH_LOF,SWAsia
Wolf_Iran_Zanjan,109,2424066,4.49658E-05,4.496577238,hetLOF,HET,HIGH_LOF,SWAsia
A_Wolf_Mexican1,30,1986971,1.50984E-05,1.509835825,hetLOF,HET,HIGH_LOF,A_Mexican
D_Wolf_Tajikistan_SRR20326384,95,2406549,3.94756E-05,3.947561425,hetLOF,HET,HIGH_LOF,CZentralAsia
C_Wolf_Tibetan_CAN32,58,2124137,2.73052E-05,2.730520677,hetLOF,HET,HIGH_LOF,C_Tibetan
C_Wolf_Tibetan_CAN9A,54,2128592,2.53689E-05,2.536888234,hetLOF,HET,HIGH_LOF,C_Tibetan
D_Wolf_Xinjiang_CAN30,94,2043295,4.60041E-05,4.600412569,hetLOF,HET,HIGH_LOF,CZentralAsia
D_China_SRR20326484_Xinjiang,48,2419353,1.984E-05,1.984001508,hom_derivedLOF,HOM,HIGH_LOF,CZentralAsia
B_Indianwolf_BH123,76,2159565,3.51923E-05,3.519227252,hom_derivedLOF,HOM,HIGH_LOF,B_Indian
B_Indianwolf_SRR13985171,84,2273974,3.69397E-05,3.693973634,hom_derivedLOF,HOM,HIGH_LOF,B_Indian
Wolf_Iran_Hajjiabad,51,2522174,2.02207E-05,2.022065091,hom_derivedLOF,HOM,HIGH_LOF,SWAsia
Wolf_Iran_Tehran_SRR20326408,56,2537112,2.20723E-05,2.207234052,hom_derivedLOF,HOM,HIGH_LOF,SWAsia
