,RG,Sample,Chromosome,Start,End,Length.bp.,NumberofMarkers,Quality,Cummulative,Bold
2190,RG,IndianwolfBH123_25X,chr1,81601042,81701100,100059,629,91.2,100059,yes
7036,RG,IndianwolfBH123_25X,chr7,17992012,18092098,100087,693,92.7,200146,yes
1710,RG,IndianwolfBH123_25X,chr18,49961070,50061229,100160,576,79.2,300306,yes
7600,RG,IndianwolfBH123_25X,chr9,44380695,44480921,100227,706,94.2,400533,yes
630,RG,IndianwolfBH123_25X,chr12,52657526,52757768,100243,799,91.4,500776,yes
6955,RG,IndianwolfBH123_25X,chr6,73824389,73924666,100278,937,96.3,601054,yes
1576,RG,IndianwolfBH123_25X,chr18,9555005,9655353,100349,492,91.7,701403,yes
4533,RG,IndianwolfBH123_25X,chr30,29511103,29611466,100364,625,91.7,801767,yes
491,RG,IndianwolfBH123_25X,chr12,12143495,12243880,100386,465,90,902153,yes
6634,RG,IndianwolfBH123_25X,chr5,71894068,71994522,100455,677,92.9,1002608,yes
6250,RG,IndianwolfBH123_25X,chr4,64303903,64404425,100523,847,95.2,1103131,yes
397,RG,IndianwolfBH123_25X,chr11,65300119,65400704,100586,654,94.2,1203717,yes
538,RG,IndianwolfBH123_25X,chr12,23059800,23160419,100620,377,89.6,1304337,yes
5724,RG,IndianwolfBH123_25X,chr38,23350940,23451610,100671,1371,96.3,1405008,yes
3148,RG,IndianwolfBH123_25X,chr24,35880692,35981395,100704,638,75.1,1505712,yes
1794,RG,IndianwolfBH123_25X,chr19,15305346,15406064,100719,656,93.3,1606431,yes
7023,RG,IndianwolfBH123_25X,chr7,15868715,15969478,100764,809,95.1,1707195,yes
5790,RG,IndianwolfBH123_25X,chr3,21306865,21407654,100790,717,94.8,1807985,yes
3311,RG,IndianwolfBH123_25X,chr25,24798389,24899245,100857,793,95.6,1908842,yes
175,RG,IndianwolfBH123_25X,chr10,64002497,64103402,100906,758,94,2009748,yes
2041,RG,IndianwolfBH123_25X,chr1,31617178,31718156,100979,719,94.5,2110727,yes
2109,RG,IndianwolfBH123_25X,chr1,52077476,52178483,101008,852,89.2,2211735,yes
5975,RG,IndianwolfBH123_25X,chr3,78418550,78519557,101008,1151,96.6,2312743,yes
43,RG,IndianwolfBH123_25X,chr10,20622610,20723649,101040,360,75.3,2413783,yes
540,RG,IndianwolfBH123_25X,chr12,23630912,23732036,101125,580,92.7,2514908,yes
3517,RG,IndianwolfBH123_25X,chr26,19192833,19293978,101146,1099,96,2616054,yes
6187,RG,IndianwolfBH123_25X,chr4,45987198,46088416,101219,670,88.6,2717273,yes
937,RG,IndianwolfBH123_25X,chr15,20273368,20374593,101226,338,61.6,2818499,yes
2169,RG,IndianwolfBH123_25X,chr1,72960691,73061918,101228,695,87.8,2919727,yes
7045,RG,IndianwolfBH123_25X,chr7,20240151,20341451,101301,508,93.5,3021028,yes
5226,RG,IndianwolfBH123_25X,chr35,9983761,10085070,101310,1034,95.2,3122338,yes
